v094_id,legacy_id,entity_type,label,resolves
WOR004000,Reg001653,work,Hurtigløberne,yes
WOR004050,Reg001656,work,"Hvad Fatter gjør, det er altid det Rigtige",yes
WOR004100,Reg001660,work,Hvad gamle Johanne fortalte,yes
WOR004150,Reg001661,work,Hvad hele Familien sagde,yes
WOR004200,Reg001662,work,Hvad man kan hitte paa,yes
WOR004250,Reg001658,work,Hvad Tidselen oplevede,yes
WOR004300,Reg001663,work,Hvem var den Lykkeligste?,yes
WOR004350,Reg001667,work,Hyldemoer (Eventyr),yes
WOR004400,Reg001678,work,Hønse-Grethes Familie,yes
WOR004450,Reg001679,work,Hørren,yes
WOR004500,Reg001681,work,I Andegaarden,yes
WOR004550,Reg001682,work,I Børnestuen,yes
WOR004600,Reg001707,work,Ib og lille Christine,yes
WOR004650,Reg001712,work,Iisjomfruen,yes
WOR004700,Reg001860,work,Jødepigen,yes
WOR004750,Reg001887,work,Keiserens nye Klæder,yes
WOR004800,Reg001897,work,Kjærestefolkene,yes
WOR004850,Reg001911,work,Klokkedybet,yes
WOR004900,Reg001912,work,Klokken,yes
WOR004950,Reg001922,work,Kometen,yes
WOR005000,Reg001951,work,Krøblingen (Eventyrbogen),yes
WOR005050,Reg002044,work,Laserne,yes
WOR005100,Reg002154,work,Lille Claus og store Claus,yes
WOR005150,Reg000732,work,Den lille Havfrue,yes
WOR005200,Reg000734,work,Den lille Idas Blomster,yes
WOR005250,Reg000735,work,Den lille Pige med Svovlstikkerne,yes
WOR005300,Reg002158,work,Lille Tuk,yes
WOR005350,Reg002175,work,Loppen og Professoren,yes
WOR005400,Reg002202,work,"Lygtemændene ere i Byen, sagde Mosekonen",yes
WOR005450,Reg000736,work,Den lykkelige Familie,yes
WOR005500,Reg002205,work,Lykken kan ligge i en Pind,yes
WOR005550,Reg002207,work,Lykkens Kalosker,yes
WOR005600,Reg002212,work,Lysene,yes
WOR005650,Reg002335,work,Marionetspilleren,yes
WOR005700,Reg002437,work,Moster,yes
WOR005750,Reg002459,work,Nabofamilierne,yes
WOR005800,Reg002481,work,Nattergalen,yes
WOR005850,Reg002515,work,Nissen hos Spekhøkeren,yes
WOR005900,Reg002516,work,Nissen og Madamen,yes
WOR005950,Reg003660,work,»Noget«,yes
WOR006000,Reg000855,work,Det ny Aarhundredes Musa,yes
WOR006050,Reg002599,work,Oldefa'er,yes
WOR006100,Reg002602,work,Ole Lukøie (Eventyr),yes
WOR006150,Reg000746,work,Den onde Fyrste,yes
WOR006200,Reg002644,work,Paa den yderste Dag,yes
WOR006250,Reg002650,work,Paradisets Have,yes
WOR006300,Reg002664,work,Pebersvendens Nathue,yes
WOR006350,Reg002669,work,"Peiter, Peter og Peer",yes
WOR006400,Reg002670,work,Pen og Blækhuus,yes
WOR006450,Reg002690,work,"Pigen, som traadte paa Brødet",yes
WOR006500,Reg002716,work,Portnerens Søn,yes
WOR006550,Reg002717,work,Portnøglen,yes
WOR006600,Reg002735,work,Prindsessen paa Ærten,yes
WOR006650,Reg002747,work,Psychen,yes
WOR006700,Reg002760,work,Qvæk,yes
WOR006750,Reg002792,work,Reisekammeraten,yes
WOR006800,Reg000649,work,De røde Skoe,yes
WOR006850,Reg000750,work,Den sidste Perle,yes
WOR006900,Reg003018,work,Skarnbassen,yes
WOR006950,Reg003029,work,Skrubtudsen,yes
WOR007000,Reg003032,work,Skyggen,yes
WOR007050,Reg000651,work,De smaa Grønne,yes
WOR007100,Reg003047,work,Sneedronningen,yes
WOR007150,Reg003048,work,Sneemanden,yes
WOR007200,Reg003050,work,Sneglen og Rosenhækken,yes
WOR007250,Reg003060,work,Solskinsbistorier,yes
WOR007300,Reg003061,work,Sommerfuglen,yes
WOR007350,Reg003063,work,Sommergjækken,yes
WOR007400,Reg003084,work,Springfyrene,yes
WOR007450,Reg003675,work,»Spørg Amagermo'er«,yes
WOR007500,Reg000755,work,Den standhaftige Tinsoldat,yes
WOR007550,Reg003108,work,Stoppenaalen,yes
WOR007600,Reg000756,work,Den store Søslange,yes
WOR007650,Reg003113,work,Stormen flytter Skilt,yes
WOR007700,Reg000757,work,Den stumme Bog,yes
WOR007750,Reg001214,work,Et Stykke Perlesnor,yes
WOR007800,Reg003132,work,Suppe paa en Pølsepind,yes
WOR007850,Reg003139,work,Svanereden,yes
WOR007900,Reg003144,work,Svinedrengen,yes
WOR007950,Reg003145,work,Svinene (»I Sverrig«),yes
WOR008000,Reg003167,work,Sølvskillingen,yes
WOR008050,Reg003179,work,Taarnvægteren Ole,yes
WOR008100,Reg003186,work,Tante Tandpine,yes
WOR008150,Reg003231,work,Theepotten,yes
WOR008200,Reg003277,work,To Brødre,yes
WOR008250,Reg003282,work,To Jomfruer,yes
WOR008300,Reg003289,work,Tolv med Posten,yes
WOR008350,Reg003291,work,Tommelise,yes
WOR008400,Reg000764,work,Den uartige Dreng,yes
WOR008450,Reg003366,work,Ugedagene,yes
WOR008500,Reg003377,work,Under Piletræet,yes
WOR008550,Reg000842,work,Det Utroligste,yes
WOR008600,Reg003404,work,Vanddraaben,yes
WOR008650,Reg003417,work,Ved det yderste Hav,yes
WOR008700,Reg003418,work,Veirmøllen,yes
WOR008750,Reg003423,work,Venskabspagten,yes
WOR008800,Reg003424,work,"Venskabspagten
(lndledningsdigtet)",yes
WOR008850,Reg003442,work,Verdens deiligste Rose,yes
WOR008900,Reg000663,work,De vilde Svaner,yes
WOR008950,Reg003458,work,Vinden fortæller om Valdemar Daae og hans Døttre,yes
WOR009000,Reg000629,work,De Vises Steen,yes
WOR009050,Reg003476,work,Vænø og Glænø,yes
WOR009100,Reg000268,work,Asenet i Trædemøllen,yes
WOR009150,Reg000423,work,Bøgernes Bog. Et Eventyr om en Mand som gik ud at søge Gud og fandt ham i sin Bibel,yes
WOR009200,Reg001204,work,Et Eventyr mod Weilbach,yes
WOR009250,Reg003545,work,[Eventyr om Hohenschwangau lovet Dronning Maria af Bayern 20.6.1854],yes
WOR009300,Reg001350,work,Fra en Pebersvends Stue,yes
WOR009350,Reg001345,work,Fra Europa til Africa,yes
WOR009400,Reg001389,work,Frihed og Constitution i en Hønsegaard,yes
WOR009450,Reg001492,work,"Grundlag i Livet: Stamtræ, Penge og Geni (Idé til Eventyr)",yes
WOR009500,Reg001601,work,Historien om en Humlestang,yes
WOR009550,Reg001657,work,Hvad Havet fortæller (jf. Den store Søslange),yes
WOR009600,Reg001793,work,Jernbane Puk,yes
WOR009650,Reg001092,work,En Kaalorm,yes
WOR009700,Reg002290,work,Man siger -,yes
WOR009750,Reg000742,work,"Den nye Samson (Vor gamle Skolemester. HCA.s Eventyr. Ved Erik Dal, V, 1967, 245-46)",yes
WOR009800,Reg002649,work,Parabel (Napoli 1846),yes
WOR009850,Reg003090,work,St. Nicolas Aften i Amsterdam,yes
WOR009900,Reg003109,work,Storke-Brev fra Suez,yes
WOR009950,Reg003110,work,Storken reiser med Familie til Ægypten (jf. Dynd-Kongens Datter),yes
WOR010000,Reg003115,work,Stort skal det være (maaske = Den lykkelige Familie),yes
WOR010050,Reg003163,work,Sæbeboblerne (jf. Kometen),yes
WOR010100,Reg003392,work,Vaaren reiser giennem Landet (jf. Aarets Historie),yes
WOR010150,Reg001145,work,En vandrende Veiviser,yes
WOR010200,Reg003685,work,Æblet (jf. Pebersvendens Nathue),yes
WOR010250,Reg003359,work,Udgave ikke nærmere angivet,yes
WOR010300,Reg002712,work,"Polyglot Udgave 
- Historien om en Moder i femten Sprog udgiven af Jean Pio og Vilh. Thomsen (1875)",yes
WOR010350,Reg003141,work,"Svensk
 - Sagor och berättelser. Öfversättning från danskan af Karl Bäckman. 1.-2. delen med träsnitt af Karl Larsson och Isidor Törnblom (1877)",yes
WOR010400,Reg003340,work,"Tyske
 - Märchen für Kinder. Vignetten von G. Osterwald (Braunschweig 1839)",yes
WOR010450,Reg003351,work,Tyske - Neue Märchen. Aus dem Dänischen von H. Zeise. II. [Ill. af Otto Speckter]. (Hamburg 1846),yes
WOR010500,Reg003348,work,Tyske - Gesammelte Märchen mit 112 Ill. nach Originalzeichnungen von V. Pedersen (1849),yes
WOR010550,Reg003349,work,Tyske - Gesammelte Märchen und Historien nebst Bilderbuch ohne Bilder (= Sämmtliche Werke I) (1853),yes
WOR010600,Reg003350,work,Tyske - Historien (= Gesammelte Werke XXXVIII) (1853),yes
WOR010650,Reg003347,work,Tyske - Gesammelte Historien. Mit 75 Ill. nach Originalzeichnungen von V. Pedersen (1857),yes
WOR010700,Reg003352,work,Tyske - Sämmtliche Märchen. Einzige vollst. vom Verf. besorgte Ausgabe. 8. Aufl. (1861),yes
WOR010750,Reg003345,work,"Tyske - 
Die Dryade. (Leipzig 1868)",yes
WOR010800,Reg003344,work,"Tyske 
- Von der Weltausstellung 1867. Die Dryade. Ein Märchen. Deutsch von August W. Peters. (Bremen 1869).",yes
