01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	12_adapted_from_creator	RegistryTitelID
standardpost	False	NovelsPlaysTales	Blyspelen. Uit het Hoogduitsch vertaalt. Amsterdam 1747		L. Holberg				True			Reg000370
standardpost	False	NovelsPlaysTales	Den bogstavelige Udtydning		W. H. Brömel				True			Reg000689
standardpost	False	NovelsPlaysTales	Bonjour						True	1.8.1856, Hofteatret, Dresden		Reg000377
standardpost	False	NovelsPlaysTales	Bonton blandt Borgerstanden		Edmond John Eyre				True			Reg000378
standardpost	False	NovelsPlaysTales	De borgerlige Stevnemøder		F. B. Hoffman				True			Reg000632
standardpost	False	NovelsPlaysTales	Le Bossu		Paul Féval; Anicet Bourgeois				True			Reg002053
standardpost	False	NovelsPlaysTales	Le Bouchon de carafe		Dupin; Eugène Grangé				True			Reg002054
standardpost	False	NovelsPlaysTales	Brand		H. Ibsen				True			Reg000383
standardpost	False	NovelsPlaysTales	Die Braut von Messina		Fr. von Schiller				True			Reg000874
standardpost	False	NovelsPlaysTales	Brudgommen fra Mexico		H. Clauren				True			Reg000404
standardpost	False	NovelsPlaysTales	Brunhild		Emanuel Geibel				True			Reg000406
standardpost	False	NovelsPlaysTales	Die Brüder		P. Terentius				True			Reg000875
standardpost	False	NovelsPlaysTales	Brylluppet paa Ulfsbjerg		Frans Hedberg		Brölloppet på Ulfåsa		True			Reg000413
standardpost	False	NovelsPlaysTales	En Bryllupsdags Fataliteter		Th. Overskou				True			Reg001066
standardpost	False	NovelsPlaysTales	Brölloppet på Ulfåsa		Frans Hedberg		Brylluppet paa Ulfsbjerg		True			Reg000415
standardpost	False	NovelsPlaysTales	Les Burgraves		V. Hugo				True			Reg002111
standardpost	False	NovelsPlaysTales	Les Buses-graves		D. Chs. Dupeuty; Ferd. Langlé				True			Reg002112
standardpost	False	NovelsPlaysTales	Bürger und Junker		Martin Schleich				True			Reg000432
standardpost	False	NovelsPlaysTales	Bürgerlich und romantisch		Ed. von Bauernfeld				True			Reg000433
standardpost	False	NovelsPlaysTales	Byron i Venedig, England og Missolonghi	Byron in Venezia	G. B. Cipro				True			Reg000421
standardpost	False	NovelsPlaysTales	Caleb		A. Dartois; E. Planard				True		W. Scott	Reg000434
standardpost	False	NovelsPlaysTales	Caligula		Alexandre Dumas père				True			Reg000436
standardpost	False	NovelsPlaysTales	Le Camerade de lit		Vanderburch; Ferd. Langé				True			Reg002056
standardpost	False	NovelsPlaysTales	Camma		G. Montanelli				True			Reg000438
standardpost	False	NovelsPlaysTales	La Canaille		M. Dumersan; Ph. Fr. P. Dumanoir				True			Reg001972
krydshenvisning	False	NovelsPlaysTales	Canne et parapluie					Les Égarements d’une canne et d’un parapluie	True			Reg000439
standardpost	False	NovelsPlaysTales	Capital og Arbeide		G. Siesbye				True		A. Weihrauch	Reg000447
standardpost	False	NovelsPlaysTales	En Caprice		Erik Bøgh				True			Reg001068
standardpost	False	NovelsPlaysTales	En Caprice		Alfred de Musset				True			Reg001067
standardpost	False	NovelsPlaysTales	Capriciosa		Th. Overskou; A. L. Arnesen				True			Reg000448
standardpost	False	NovelsPlaysTales	Les Caravanes de Mayeux		Ph. Fr. P. Dumanoir; Brisebarre				True			Reg002113
standardpost	False	NovelsPlaysTales	Cardillac		Antony-Léopold				True			Reg000450
standardpost	False	NovelsPlaysTales	Carl den Tolvte paa Hjemreisen		Karl Töpfer				True		J. R. Planché	Reg000455
standardpost	False	NovelsPlaysTales	Caroline Mathilde		M. W. Brun				True			Reg000458
standardpost	False	NovelsPlaysTales	Cendrillon, ou la Pantoufle merveilleuse		Clairville; Albert Monnier; E. Blum				True			Reg000463
standardpost	False	NovelsPlaysTales	C’est ma fille						True	18.7.1857, Variétés, Paris		Reg000561
standardpost	False	NovelsPlaysTales	César ou Le chien de château		E. Scribe; Varner				True			Reg000560
standardpost	False	NovelsPlaysTales	Le Chanson de l'aveugle		Junien				True			Reg002059
standardpost	False	NovelsPlaysTales	Chansonnettes		A. Achard				True			Reg000469
standardpost	False	NovelsPlaysTales	Le petit Chaperon rouge		Marionet-Komedie, 22.4.1867, Paris				True			Reg002096
standardpost	False	NovelsPlaysTales	Charlotte Corday		Athalia Schwartz				True			Reg000473
standardpost	False	NovelsPlaysTales	La Chasse du roi		Émile Fontaine				True			Reg001974
standardpost	False	NovelsPlaysTales	Le Chevreuil		Léon H ...; Jaime				True			Reg002061
standardpost	False	NovelsPlaysTales	Christian den Fjerdes Dom		N. Søtoft				True			Reg000496
standardpost	False	NovelsPlaysTales	Christoph und Renata		Karl Blum				True			Reg000501
standardpost	False	NovelsPlaysTales	Claudina		Marionetkomedie; 16.1.; 25.1.1841, Teatro Fiano, Rom				True			Reg000524
standardpost	False	NovelsPlaysTales	Le Clavier de Berthe		Barrière; Lorin				True			Reg002062
standardpost	False	NovelsPlaysTales	La Closerie des genêts		Fr. Soulié				True			Reg001975
standardpost	False	NovelsPlaysTales	Cola di Rienzi		Rud. Kirner				True			Reg000534
standardpost	False	NovelsPlaysTales	Coliche		N. P. Dupont; P. Roucher				True			Reg000535
standardpost	False	NovelsPlaysTales	En Colonels Giftermaal	La raison propose ou Un mariage diplomatique	Paul Duport				True			Reg001069
standardpost	False	NovelsPlaysTales	Les conférences chez Beaubicon		Clairville; E. Blum				True			Reg002136
standardpost	False	NovelsPlaysTales	Coriolan		W. Shakespeare				True			Reg000544
standardpost	False	NovelsPlaysTales	Correggio		A. Oehlenschlæger				True			Reg000545
standardpost	False	NovelsPlaysTales	Crinoline den Store		Erik Bøgh		Dronning Crinoline		True		Hippolyte Cogniard	Reg000551
standardpost	False	NovelsPlaysTales	El crisol de la lealtad		Ángel de Saavedra, Hertug af Rivas				True			Reg001041
standardpost	False	NovelsPlaysTales	Crispin rival de son maître		Lesage				True			Reg000552
standardpost	False	NovelsPlaysTales	Cromwells Ende		Ernst Raupach				True			Reg000555
standardpost	False	NovelsPlaysTales	En Cuurmethode		H. Hertz				True			Reg001071
standardpost	False	NovelsPlaysTales	Cymbeline		W. Shakespeare				True			Reg000558
standardpost	False	NovelsPlaysTales	La Dame aux camélias		Alexandre Dumas fils				True			Reg001976
standardpost	False	NovelsPlaysTales	La Dame et la demoiselle		Empis; Mazères				True			Reg001978
standardpost	False	NovelsPlaysTales	De Danske i Paris		J. L. Heiberg				True			Reg000619
standardpost	False	NovelsPlaysTales	De har en Datter		H. P. Holst				True			Reg000639
standardpost	False	NovelsPlaysTales	Debatten i Politivennen		H. Hertz				True			Reg000664
standardpost	False	NovelsPlaysTales	Deborah		S. H. Mosenthal				True			Reg000665
standardpost	False	NovelsPlaysTales	Declarationen		Chr. Richardt				True			Reg000666
standardpost	False	NovelsPlaysTales	Den deiligste Qvinde		Michael Gjørup				True			Reg000692
standardpost	False	NovelsPlaysTales	Les Demoiselles de St. Cyr		Alexandre Dumas père				True			Reg002115
standardpost	False	NovelsPlaysTales	El desengaño en un sueño		Ángel de Saavedra, Hertug af Rivas				True			Reg001042
standardpost	False	NovelsPlaysTales	Ein deutscher Krieger		Eduard von Bauernfeld				True			Reg001033
standardpost	False	NovelsPlaysTales	Les Deux ânes		Mélesville; P. F. A. Carmouche				True			Reg002117
standardpost	False	NovelsPlaysTales	Dichter Piron		Jean-Nicolas Bouilly; Joseph Pain				True			Reg000862
standardpost	False	NovelsPlaysTales	Diderich Menschenskræk		L. Holberg				True			Reg000866
standardpost	False	NovelsPlaysTales	Dieu vous bénisse		A. Ancelot; Paul Duport				True			Reg000936
standardpost	False	NovelsPlaysTales	Dina		A. Oehlenschlæger				True			Reg000944
standardpost	False	NovelsPlaysTales	Dir wie mir		Otto Randolf				True			Reg000949
standardpost	False	NovelsPlaysTales	Djævelens Memoirer		Etienne Arago; Paul Vermond		Les Mémoires du Diable		True			Reg000952
standardpost	False	NovelsPlaysTales	Doctoren imod sin Villie		Molière				True			Reg000953
standardpost	False	NovelsPlaysTales	Dominique		Viollet d'Epagny; H. Dupin				True			Reg000961
standardpost	False	NovelsPlaysTales	Don Álvaro ó la fuerza del Sino		Ángel de Saavedra, Hertug af Rivas				True			Reg000975
standardpost	False	NovelsPlaysTales	Don Carlos		Fr. von Schiller				True			Reg000968
standardpost	False	NovelsPlaysTales	Don Juan		Molière				True			Reg000970
standardpost	False	NovelsPlaysTales	Don Juan af Østerrig		Casimir Delavigne				True			Reg000972
standardpost	False	NovelsPlaysTales	Donna Diana		Agustin Moreto				True			Reg000977
standardpost	False	NovelsPlaysTales	Dorf und Stadt		Charlotte Birch-Pfeiffer				True			Reg000980
standardpost	False	NovelsPlaysTales	Dr. Robin		Wilh. Friedrich				True		Jules Regnault de Prémary	Reg000981
standardpost	False	NovelsPlaysTales	Dramatisches Vergissmeinnicht		Theodor Hell				True			Reg000982
standardpost	False	NovelsPlaysTales	Dramatiske Scener		Chr. Bredahl				True			Reg000983
standardpost	False	NovelsPlaysTales	Dramatiske Værker		P. F. Wulff				True		W. Shakespeare	Reg000984
standardpost	False	NovelsPlaysTales	Drei Tage aus dem Leben eines Spielers		Louis Angely				True		Victor Ducange	Reg000986
standardpost	False	NovelsPlaysTales	Drivhuusplanter		H. P. Holst				True		Fr. Hedberg	Reg000993
standardpost	False	NovelsPlaysTales	Dronning Crinoline		Benjamin Feddersen		Crinoline den Store		True		H. Cogniard	Reg000995
standardpost	False	NovelsPlaysTales	Dronning Margareta		A. Oehlenschlæger				True			Reg000999
standardpost	False	NovelsPlaysTales	Dronning Marguerites Noveller	Les Contes de la reine de Navarre	Legouvé; Scribe		Die Königin von Navarra		True			Reg001000
standardpost	False	NovelsPlaysTales	Drøm og Virkelighed		anonymt				True			Reg001005
standardpost	False	NovelsPlaysTales	Due case in una casa		L. B. Picard; Wafflard; Fulgence				True			Reg001007
standardpost	False	NovelsPlaysTales	Dyveke		O. J. Samsøe				True			Reg001010
standardpost	False	NovelsPlaysTales	Der Eckensteher Nante im Verhör		Friedr. Beckmann				True			Reg000776
standardpost	False	NovelsPlaysTales	L'École des bourgeois		d'Allainval				True			Reg001968
standardpost	False	NovelsPlaysTales	En Eftermiddag paa Heden		H. H. Nyegaard				True			Reg001073
standardpost	False	NovelsPlaysTales	Les Égarements d'une canne et d'un parapluie		Duvert; Lauzanne				True			Reg002138
standardpost	False	NovelsPlaysTales	Egmont		J. W. von Goethe				True			Reg001019
standardpost	False	NovelsPlaysTales	Eh! allez donc Turlurette		Cogniard; Clairville				True			Reg001021
standardpost	False	NovelsPlaysTales	Einer von ünsere Leut'		O. F. Berg				True			Reg001038
standardpost	False	NovelsPlaysTales	Elisabetta regina d'Inghilterra		Paolo Giacometti				True			Reg001050
standardpost	False	NovelsPlaysTales	Den ellefte Juni		L. Holberg				True			Reg000696
standardpost	False	NovelsPlaysTales	Elverhøi		J. L. Heiberg				True			Reg001055
standardpost	False	NovelsPlaysTales	Embedsiver eller Herr og Fru Møller		J. F. A. Bayard				True			Reg001059
standardpost	False	NovelsPlaysTales	Emigrantens Reisevogn		Mélesville; Hestienne; d'Aubigny				True			Reg001060
standardpost	False	NovelsPlaysTales	Emilie Galotti		G. E. Lessing				True			Reg001061
standardpost	False	NovelsPlaysTales	Emilies Hjertebanken		J. L. Heiberg				True			Reg001062
standardpost	False	NovelsPlaysTales	Endlich bat er es doch gutgemaht		Albin von Meddlhammer				True			Reg001146
standardpost	False	NovelsPlaysTales	Den eneste Feil		H. Hertz				True			Reg000697
standardpost	False	NovelsPlaysTales	Les Enfants d'Edouard		C. Delavigne				True			Reg002119
standardpost	False	NovelsPlaysTales	Et enfoldigt Pigebarn		Erik Bøgh				True			Reg001218
standardpost	False	NovelsPlaysTales	Enken		L. Kruse				True			Reg001166
standardpost	False	NovelsPlaysTales	En Episode		Chr. Juul				True			Reg001074
standardpost	False	NovelsPlaysTales	Er ist nieht eifersüchtig		Alexander Elz				True			Reg001173
standardpost	False	NovelsPlaysTales	Er mengt sich in Alles		J.F. Jünger				True		Susanna Centlive	Reg001174
standardpost	False	NovelsPlaysTales	Erasmus Montanus		L. Holberg				True			Reg001175
standardpost	False	NovelsPlaysTales	Erik og Abel		A. Oehlenschlæger				True			Reg001178
standardpost	False	NovelsPlaysTales	Der Erntekranz		Franz von Dingelstedt				True			Reg000777
standardpost	False	NovelsPlaysTales	Erziehungs-Resultate		Karl Blum				True		Alexis Decomberousse	Reg001186
standardpost	False	NovelsPlaysTales	Esmeralda		Erik Bøgh				True		V. Hugo	Reg001190
standardpost	False	NovelsPlaysTales	Eulenspiegel oder Schabenack über Schabernack		J. N. Nestroy				True			Reg001225
standardpost	False	NovelsPlaysTales	Europæerne i Amerika		Marionetkomedie, 3.2.1841, Teatro Fiano, Rom				True			Reg001229
standardpost	False	NovelsPlaysTales	Et Eventyr i Dyrehaven, eller: Cassanders opdagede Trædskhed		H. Hertz				True			Reg001201
standardpost	False	NovelsPlaysTales	Et Eventyr i Rosenborg Have		J. L. Heiberg				True			Reg001203
standardpost	False	NovelsPlaysTales	Eventyr paa Fodreisen		C. Hostrup				True			Reg001237
standardpost	False	NovelsPlaysTales	Der ewige Jude		Carlschmidt				True		Eugen Sue	Reg000831
standardpost	False	NovelsPlaysTales	Examensfeber		Edvard Bäckström				True			Reg001240
standardpost	False	NovelsPlaysTales	Fabrikanten		Émil Souvestre				True			Reg001244
standardpost	False	NovelsPlaysTales	En Fallit		Bj. Bjørnson				True			Reg001075
standardpost	False	NovelsPlaysTales	Un fallo	Et Feiltrin	E. Scribe				True			Reg003375
standardpost	False	NovelsPlaysTales	En Familie paa Moden		Erik Bøgh				True		V. Sardou	Reg001076
standardpost	False	NovelsPlaysTales	Familien Riquebourg		E. Scribe				True			Reg001247
standardpost	False	NovelsPlaysTales	Fandens Overmand		Th. Overskou				True			Reg001250
standardpost	False	NovelsPlaysTales	Fanget		Johs. Helms				True			Reg001251
standardpost	False	NovelsPlaysTales	Far male per far male						True	31.5.1846, Teatro Fiorentini, Napoli		Reg001252
standardpost	False	NovelsPlaysTales	Farbror		H. P. Holst				True			Reg001253
standardpost	False	NovelsPlaysTales	Farinelli		de Forges; St.-Georges; Leuven				True			Reg001254
standardpost	False	NovelsPlaysTales	De Fattiges Dyrehave		H. Hertz				True			Reg000620
standardpost	False	NovelsPlaysTales	Faust, Marionetspil						True			Reg001268
standardpost	False	NovelsPlaysTales	Faust I		J. W. von Goethe				True			Reg001264
standardpost	False	NovelsPlaysTales	Faust II		J. W. von Goethe				True			Reg001265
standardpost	False	NovelsPlaysTales	Faust		Nicolaus Lenau				True			Reg001262
standardpost	False	NovelsPlaysTales	Der Fechter von Ravenna		Fr. Halm				True			Reg000779
standardpost	False	NovelsPlaysTales	Feiltagelserne		Oliver Goldsmith				True			Reg001271
standardpost	False	NovelsPlaysTales	500000 Djævle						True			Reg000122
standardpost	False	NovelsPlaysTales	Fiesco		Fr. von Schiller				True			Reg001286
standardpost	False	NovelsPlaysTales	Le Fils de Giboyer		E. Augier				True			Reg002067
standardpost	False	NovelsPlaysTales	La finta strega		W. Scott				True	efter W. Scott: »Guy Mannering«, 12.6.1846, Teatro Fiorentini, Napoli		Reg002014
standardpost	False	NovelsPlaysTales	Fiskeren		A. Oehlenschlæger				True			Reg001296
standardpost	False	NovelsPlaysTales	En fix Idé		William Bloch; Nicolaj Bøgh				True			Reg001131
standardpost	False	NovelsPlaysTales	Fjeldsøen		A. Munch				True			Reg001299
standardpost	False	NovelsPlaysTales	En flot Herre		Clairville; Victor Bernard				True			Reg001132
standardpost	False	NovelsPlaysTales	Foliquet, coiffeur des dames		Paul Duport; Laurencin				True			Reg001313
standardpost	False	NovelsPlaysTales	For Alvor		Paul Chievitz; Adolph Recke				True			Reg001321
standardpost	False	NovelsPlaysTales	For Bentsens Skyld		Tom Taylor				True			Reg001322
standardpost	False	NovelsPlaysTales	De Forlovede		Carl Møller				True			Reg000621
standardpost	False	NovelsPlaysTales	En fornem Dames Søn		J. Davidsen; Th. Overskou				True		det franske	Reg001133
standardpost	False	NovelsPlaysTales	Forseent		N.N., Odense				True			Reg001328
standardpost	False	NovelsPlaysTales	Et Forspil		C. Hostrup				True			Reg001206
standardpost	False	NovelsPlaysTales	Fortabt		Carit Etlar				True			Reg001330
standardpost	False	NovelsPlaysTales	En Fortid		A. Thornam				True			Reg001078
standardpost	False	NovelsPlaysTales	Fra det daglige Liv		Albert Hansen				True			Reg001349
standardpost	False	NovelsPlaysTales	Le François à Londres		Boissy				True			Reg002069
standardpost	False	NovelsPlaysTales	Freien nach Vorschrift		Karl Töpfer				True			Reg001379
standardpost	False	NovelsPlaysTales	Die Fremde		Johanna Franul Von Weissenthurn				True			Reg000877
standardpost	False	NovelsPlaysTales	Freuden und Leiden eines Kranken		Franz von Kurländer				True			Reg001384
standardpost	False	NovelsPlaysTales	Freyas Altar		A. Oehlenschlæger				True			Reg001385
standardpost	False	NovelsPlaysTales	Friedrich Schiller		Ludv. Eckardt				True			Reg001387
standardpost	False	NovelsPlaysTales	Frieriet paa Helgoland		Benjamin Feddersen				True		L. Schneider	Reg001388
standardpost	False	NovelsPlaysTales	Froufrou		Meilhac; Halévy				True			Reg001394
standardpost	False	NovelsPlaysTales	The Frozen Deep		Wilkie Collins				True			Reg003209
standardpost	False	NovelsPlaysTales	Fruentimmerskolen		Molière				True			Reg001396
standardpost	False	NovelsPlaysTales	Fröhlich		Louis Schneider				True			Reg001399
standardpost	False	NovelsPlaysTales	Den første Kjærlighed		E. Scribe				True			Reg000706
standardpost	False	NovelsPlaysTales	Det første Regiment		H. P. Holst				True			Reg000850
standardpost	False	NovelsPlaysTales	Gabrielle de Belle-lsle		Alexandre Dumas père				True			Reg001411
standardpost	False	NovelsPlaysTales	Les Gardes du roi de Siam		Cormon; Grangé; Delacour				True			Reg002121
standardpost	False	NovelsPlaysTales	Garrick i Bristol		J. L. Deinhardstein				True			Reg001423
standardpost	False	NovelsPlaysTales	Gaston van Frankrijk		Arnould; Fournier				True			Reg001425
standardpost	False	NovelsPlaysTales	Die Gefangenen der Czarin		J. F. A. Bayard				True			Reg000878
standardpost	False	NovelsPlaysTales	Die gefährliche Tante		Albin von Meddlhammer				True	Pseudonym: Albini		Reg000926
standardpost	False	NovelsPlaysTales	Das Gefängnis		Roderich Benedix				True			Reg000590
standardpost	False	NovelsPlaysTales	Der geheime Agent		F. W. Hackländer				True			Reg000832
standardpost	False	NovelsPlaysTales	Georges et Thérese		Louis Auvray				True			Reg001443
standardpost	False	NovelsPlaysTales	Das Gespenst auf der Bastei		Karl Meisl				True			Reg000591
standardpost	False	NovelsPlaysTales	Der gestiefelte Kater		L. Tieck				True			Reg000833
krydshenvisning	False	NovelsPlaysTales	Die gestrengen Herren					Tempora mutantur	True			Reg000927
standardpost	False	NovelsPlaysTales	Gienfærdet paa Herlufsholm		A. Oehlenschlæger				True			Reg001448
standardpost	False	NovelsPlaysTales	Et Giftermaal ved Trommen	Le Mariage au tarobour	Peter Faber		Le Mariage au tambour		True		de Leuven, Brunswick og Alexandre Dumas	Reg001207
standardpost	False	NovelsPlaysTales	Gioacchino		H. P. Holst				True			Reg001451
standardpost	False	NovelsPlaysTales	Gienboerne		C. Hostrup				True			Reg001447
standardpost	False	NovelsPlaysTales	Gjennem Skjærsilden		Octave Feuillet				True			Reg001460
standardpost	False	NovelsPlaysTales	Gjøngehøvdingen		M. W. Brun				True			Reg001461
standardpost	False	NovelsPlaysTales	Et GlasVand		E. Scribe		Une Verre d'eau		True			Reg001208
standardpost	False	NovelsPlaysTales	Ein glücklicher Familienvater		Karl August Görner				True			Reg001034
standardpost	False	NovelsPlaysTales	Das goldene Lamm		J. Sonnleithner				True			Reg000612
standardpost	False	NovelsPlaysTales	Das goldene Vliess		Fr. Grillpazer				True			Reg000613
standardpost	False	NovelsPlaysTales	Der Goldschmied von Ulm		S. H. Mosenthal				True			Reg000784
standardpost	False	NovelsPlaysTales	Graf Essex		Heinrich Laube				True			Reg001474
standardpost	False	NovelsPlaysTales	Grev Essex		J. C. Lange				True			Reg001485
standardpost	False	NovelsPlaysTales	Die Grille		Charlotte Birch-Pfeiffer		En lille Heks		True	Charlotte Birch-Pfeiffer efter George Sand: La petite Fadette	George Sand	Reg000881
standardpost	False	NovelsPlaysTales	Gringoire		Th. Bainville				True			Reg001489
standardpost	False	NovelsPlaysTales	Griseldis		Fr. Halm				True			Reg001490
standardpost	False	NovelsPlaysTales	Grisen		Labiche; Delacour				True			Reg001491
standardpost	False	NovelsPlaysTales	Grøns Fødselsdag		Clara Andersen				True			Reg001495
standardpost	False	NovelsPlaysTales	Die Günstlinge		Charlotte Birch-Pfeiffer				True			Reg000882
standardpost	False	NovelsPlaysTales	Götz von Berlichingen		J. W. von Goethe				True			Reg001513
standardpost	False	NovelsPlaysTales	Hagbarth og Signe		A. Oehlenschlæger				True			Reg001520
standardpost	False	NovelsPlaysTales	Hakon Jarl		A. Oehlenschlæger				True			Reg001521
standardpost	False	NovelsPlaysTales	Hamlet		W. Shakespeare				True			Reg001524
standardpost	False	NovelsPlaysTales	Han gaaer paa Kommers		J. N. Nestroy				True			Reg001526
standardpost	False	NovelsPlaysTales	Hans Jürge		Karl von Holtei				True			Reg001531
standardpost	False	NovelsPlaysTales	Hans Sachs		J. L. Deinhardstein				True			Reg001533
standardpost	False	NovelsPlaysTales	Das Haus det Temperamente		J. N. Nestroy				True			Reg000593
standardpost	False	NovelsPlaysTales	Der Hausmeister in tausenden Aengsten						True	24.8.1857, Hofteatret, Dresden		Reg000785
standardpost	False	NovelsPlaysTales	Helene oder die Körbe						True	27.11.1840, München		Reg001553
standardpost	False	NovelsPlaysTales	Det hemmelige Politi		J. P. Svendsen				True			Reg000853
standardpost	False	NovelsPlaysTales	En Hemmelighed		Ida Nielsen				True			Reg001082
standardpost	False	NovelsPlaysTales	Henrich og Pernille		L. Holberg				True			Reg001560
standardpost	False	NovelsPlaysTales	Henrik af Navarra		C. Hauch				True			Reg001563
standardpost	False	NovelsPlaysTales	Henrik den Fjerde, 1ste Deel		W. Shakespeare				True			Reg001564
standardpost	False	NovelsPlaysTales	Henrik den Fjerde, 2den Deel		W. Shakespeare				True			Reg001565
standardpost	False	NovelsPlaysTales	Herman von Unna		A. F. Skjöldebrand				True			Reg001572
standardpost	False	NovelsPlaysTales	Hermance		Virginie Ancelot				True			Reg001573
standardpost	False	NovelsPlaysTales	Herodias		Silvio Pellico				True			Reg001577
standardpost	False	NovelsPlaysTales	Hinter dem häuslichen Herd						True	25.10. 1860, Hofteatret, Dresden		Reg001595
standardpost	False	NovelsPlaysTales	Hr. Grylle og hans nyeste Viser		Erik Bøgh				True			Reg001633
standardpost	False	NovelsPlaysTales	Hr. Lauge med den tunge Haand		Carit Etlar				True			Reg001634
standardpost	False	NovelsPlaysTales	Hr. Malesherbes Roser		A. von Kotzebue				True			Reg001635
krydshenvisning	False	NovelsPlaysTales	Hr. Møller, Hr. og Fru Møller					Embedsiver	True			Reg001636
standardpost	False	NovelsPlaysTales	Hr. Sørensen morer sig		Harald Jensen				True		Salingré	Reg001639
standardpost	False	NovelsPlaysTales	Hr. Sørensen paa Eventyr		Carl Ploug				True			Reg001640
standardpost	False	NovelsPlaysTales	Hr. Volmer i Sorø		William Bloch; Nicolaj Bøgh				True			Reg001641
standardpost	False	NovelsPlaysTales	En Herre og en Dame		Xavier; Duvert; Lauzanne				True			Reg001083
standardpost	False	NovelsPlaysTales	Et Herreselskab		H. Hertz				True			Reg001209
standardpost	False	NovelsPlaysTales	Hertug Concretus og hans Datter		Erik Bøgh				True		Hans Sachs	Reg001584
standardpost	False	NovelsPlaysTales	Hexerie eller Blind Alarm		L. Holberg				True			Reg001590
standardpost	False	NovelsPlaysTales	Huismiddel tegen schoonmoeders	Rezept gegen Schwiegermütter	J. Both J. Jzn.				True		det Spanske af Kong Ludwig I af Bayern	Reg001645
standardpost	False	NovelsPlaysTales	Huldrebakken		Erik Bøgh				True			Reg001646
standardpost	False	NovelsPlaysTales	Hun skal debutere!		Erik Bøgh				True		Bayard og Théaulon	Reg001649
standardpost	False	NovelsPlaysTales	Les Hures graves		Ph. Fr. P. Dumanoir; Paul Siraudin; Louis Clairville				True			Reg002122
standardpost	False	NovelsPlaysTales	Hussiterne eller Naumburgs Beleiring		A. von Kotzebue				True			Reg001655
standardpost	False	NovelsPlaysTales	Ein Hut	Le Chapeau d'un horloger	Moritz Grandjean				True		Delphine Girardin	Reg001026
standardpost	False	NovelsPlaysTales	De hvide Roser		William Bloch; Nicolai Bøgh				True			Reg000641
standardpost	False	NovelsPlaysTales	Den Hvidklædte		H. P. Holst				True		Fr. Hedbergs Bearbejdelse af Wilkie Collins'	Reg000678
standardpost	False	NovelsPlaysTales	Hvor Tiden løber		N. T. Bruun				True		Louis B. Picard	Reg001664
standardpost	False	NovelsPlaysTales	Hyrden af Tolosa		B. S. Ingemann				True			Reg001670
standardpost	False	NovelsPlaysTales	Häuslichen Wirren		J. Lederer				True			Reg001676
standardpost	False	NovelsPlaysTales	En Hævn		Waldemar Bruun				True			Reg001090
standardpost	False	NovelsPlaysTales	l den anden Verden		M. Goldschmidt				True			Reg003583
standardpost	False	NovelsPlaysTales	l Dynekilen		Carit Etlar				True			Reg003582
standardpost	False	NovelsPlaysTales	l en Fart		Kr. Mantzius				True		Decourcelle, Barrière og Morand	Reg003584
standardpost	False	NovelsPlaysTales	lch bleibe ledig		Karl Blum				True			Reg003586
standardpost	False	NovelsPlaysTales	Indianerne i England		A. Kotzebue				True			Reg001741
standardpost	False	NovelsPlaysTales	lndqvarteringen		H. Hertz				True			Reg003587
standardpost	False	NovelsPlaysTales	Indtoget		P. A. Heiberg				True			Reg001744
standardpost	False	NovelsPlaysTales	Ines de Castro		António de Ferreira				True			Reg001745
standardpost	False	NovelsPlaysTales	Ingen Tærte						True	14.5.1846, Teatro Carlino, Napoli		Reg001746
standardpost	False	NovelsPlaysTales	Das lntermezzo		A. von Kotzebue				True			Reg000614
standardpost	False	NovelsPlaysTales	Intrigerne		C. Hostrup				True			Reg001750
standardpost	False	NovelsPlaysTales	Iphigenie auf Tauris		J. W. von Goethe				True			Reg001754
standardpost	False	NovelsPlaysTales	Isabella Orsini		S. H. Mosenthal				True			Reg001755
standardpost	False	NovelsPlaysTales	En italiensk Straahat		E. Labiche; Marc Michel				True			Reg001136
standardpost	False	NovelsPlaysTales	Ja!		J. L. Heiberg				True			Reg001768
standardpost	False	NovelsPlaysTales	Jacob von Thybo		L. Holberg				True			Reg001771
standardpost	False	NovelsPlaysTales	The Jacobite						True	1.7.1847, Hay-Market, London		Reg003212
standardpost	False	NovelsPlaysTales	Jagten paa Søeborg		Mønster?				True			Reg001772
standardpost	False	NovelsPlaysTales	Jean Baudry		Auguste Vacquerie				True			Reg001777
standardpost	False	NovelsPlaysTales	Jean de France		L. Holberg				True			Reg001778
standardpost	False	NovelsPlaysTales	Jeanne d’Arc		Alex. Soumet				True			Reg001782
standardpost	False	NovelsPlaysTales	Jeg spiser hos min Moder		Decourcelle; L. Thibouet				True			Reg001783
standardpost	False	NovelsPlaysTales	Jens		H. P. Holst				True			Reg001787
standardpost	False	NovelsPlaysTales	Jens Støvring		Benjamin Feddersen				True		G. von Moser	Reg001789
standardpost	False	NovelsPlaysTales	Jeppe paa Bjerget		L. Holberg				True			Reg001790
standardpost	False	NovelsPlaysTales	Le Jeu de l’amour et du hasard		Marivaux				True			Reg002072
krydshenvisning	False	NovelsPlaysTales	Johan af Østerige					Don Juan af Østerrig	True			Reg001807
standardpost	False	NovelsPlaysTales	Johann von Oesterreich		Julius Mosen				True			Reg001809
standardpost	False	NovelsPlaysTales	Johanna Montfaucon		A. von Kotzebue				True			Reg001810
