collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Bang,Hjalmar,1807,1833,surname_only,5,Reg0034240;Reg0034250;Reg0034260;Reg0034270;Reg0034310,"Bang, se også: Hofman-Bang. | Bang, Frøken | Bang | Bang, de, Frøken | Bang, Chr. Asmus (død 1888, 62 år gl.)"
Bang,Ida,1813,1891,exact,1,Reg0034380,"Bang, Ida (1813–1891)"
Bang,"Sophie Marie, f. Dahlerup",1801,1878,exact,1,Reg0034440,"Bang, Sophie Marie, f. Dahlerup (1801–1878)"
Bardua,Caroline,1781,1864,exact,1,Reg0034740,"Bardua, Caroline (1781–1864)"
Barfod,Frederik,1811,1896,exact,1,Reg0034760,"Barfod, Frederik (1811–1896)"
Barham,Richard Harris,1788,1845,none,0,,
Barries,"Læge i Wien II, 75. Bartholin, Frederik",1829,1901,none,0,,
Bartholin,Johanne,1819,1900,exact,1,Reg0034970,"Bartholin, Johanne (Hanne) (1819–1900)"
Baumann,Alexander,1814,1857,exact,1,Reg0035190,"Baumann, Alexander (1814–1857)"
Baur,Johannes,1795,1865,exact,1,Reg0035220,"Baur, Johannes (1795–1865)"
Bay,Rudolph,1791,1856,exact,1,Reg0035250,"Bay, Rudolph (1791–1856)"
Bayer-Bürck,"Marie, f. Bayer",1820,1910,exact,1,Reg0035300,"Bayer (-Bürck), Marie (1820–1910)"
Bayern,"Ludwig I, Konge af—",1786,1868,exact,1,Reg0035340,"Bayern, Ludwig I, Konge af – (1786–1868)"
Bayern,"Ludwig II, Konge af —",1845,1886,exact,1,Reg0035350,"Bayern, Ludwig (II), Kronprins af – (1845–1886)"
Bayern,"Maria Hedewig, Dronning af —, f. Prinsesse af Preussen",1825,1889,exact,1,Reg0035360,"Bayern, Maria Hedewig, Dronning af f. Prinsesse af Preussen (1825–1889)"
Bayern,"Maximilian I, Konge af—",1756,1825,exact,1,Reg0035370,"Bayern, Maximilian I, Konge af – (1756–1825)"
Bayern,"Maximilian II, Konge af —",1811,1864,exact,1,Reg0035380,"Bayern, Maximilian (Max) (II), Kronprins af – (1811–1864)"
Beaulieu-Marconnay,"Anna v., Friherreinde, f. v. Fritsch",1835,1916,exact,1,Reg0035470,"Beaulieu-Marconnay, Anna von, Friherreinde, f. Friherreinde von Fritsch (1835–1916)"
Beaulieu-Marconnay,"Carl Olivier v., Fri­ herre",1811,1889,exact,1,Reg0035480,"Beaulieu-Marconnay, Carl Olivier von, Friherre (1811–1889)"
Beaulieu-Marconnay,"Flavie v., Friherreinde",1851,1925,exact,1,Reg0035520,"Beaulieu-Marconnay, Flavie von, Friherreinde (1851–1925)"
Beaulieu-Marconnay,"Leo v., Friherre",1848,1923,exact,1,Reg0035560,"Beaulieu-Marconnay, Leo von, Friherre (1848–1923)"
Beaulieu-Marconnay,"Ottilie v., Friherreinde, f. v. Staff gen. v. Reitzenstein",1825,1857,exact,1,Reg0035570,"Beaulieu-Marconnay, Ottilie von, Friherreinde, f. von Staff gen. von Reitzenstein (1825–1857)"
Beaulieu-Marconnay,"Wilhelm Ernst v., Fri­ herre",1786,1859,exact,1,Reg0035580,"Beaulieu-Marconnay, Wilhelm Ernst von, Friherre (1786–1859)"
Bech,"Charlotte Amalie, f. Stricker",1793,1880,exact,1,Reg0035630,"Bech, Charlotte Amalie, f. Stricker (1793–1880)"
Bech,"Marie Amalie, f. Callisen",1788,1878,exact,1,Reg0035660,"Bech, Marie Amalie, f. Callisen (1788–1878)"
Beck,"Claudia, f. Jensen",1816,1887,exact,1,Reg0035730,"Beck, Claudia, f. Jensen (1816–1887)"
Beck,Hans Vilh.,1812,1874,exact,1,Reg0035750,"Beck, Hans Vilhelm (1812–1874)"
Becker,Carl Fr.,1784,1858,surname_only,3,Reg0035790;Reg0035800;Reg0035820,"Becker, se også: Becher, Bekker. | Becker, Agnes (død 1913) | Becker, Julius (1803 eller 1804–1848)"
Becker,Karl Friedrich,1777,1806,exact,1,Reg0035830,"Becker, Karl Friedrich (1777–1806)"
Becker,Nikolaus,1809,1845,exact,1,Reg0035840,"Becker, Nikolaus (1809–1845)"
Beethoven,Ludwig van,1770,1827,exact,1,Reg0035920,"Beethoven, Ludwig van (1770–1827)"
Bell,"Currer, se Bronte, Charlotte. Bellini, Vincenzo",1801,1835,surname_only,1,Reg0036150,"Bell, Currer, se: Bronte, Charlotte."
Bender,F.,1847,1891,exact,1,Reg0036290,"Bender, F. (1847–1891)"
Benedict,Julius,1804,1885,exact,1,Reg0036420,"Benedict, Julius (1804–1885)"
Bentley,George,1828,1895,exact,1,Reg0036600,"Bentley, George (1828–1895)"
Bentsen,Bernt,1791,1862,none,0,,
Bentzen,Peter,1785,1866,exact,1,Reg0036730,"Bentzen, Peter (1785–1866)"
Bentzien,V. B.,1800,1857,none,0,,
Benzon,Hartvig,1816,1875,ambiguous,2,Reg0036800;Reg0036810,"Benzon, Christian Albrecht (1816–1849) | Benzon, Hartvig (1816–1875)"
Béranger,Pierre Jean de,1780,1857,exact,1,Reg0036850,"Béranger, Pierre-Jean de (1780–1857)"
Berg,Christiane,1851,1912,exact,1,Reg0036920,"Berg, Christiane (1851–1912)"
Berg,Hans Johan Fredrik,1813,1874,exact,1,Reg0036930,"Berg, Hans Johan Fredrik (1813–1874)"
Berg,Jens Frederik,1807,1847,exact,1,Reg0036970,"Berg, Jens Frederik (1807–1847)"
Bergman,Joh. Wilh.,1796,1871,exact,1,Reg0037030,"Bergman, Joh. Wilhelm (1796–1871)"
Bergsøe,Vilhelm,1835,1911,exact,1,Reg0037100,"Bergsøe, Vilhelm (1835–1911)"
Berner,"Amalia, f. Bügel",1804,1842,exact,1,Reg0037230,"Berner, Amalia, f. Bügel (1804–1842)"
Berner,Gottlob,1823,1914,exact,1,Reg0037270,"Berner, Gottlob (1823–1914)"
Bertouch,"E. R., Baron",1808,1869,exact,1,Reg0037560,"Bertouch, Emst von, Baron (1808–1869)"
Beskow,"Bernhard v., Friherre",1796,1868,exact,1,Reg0037700,"Beskow, Bernhard von, Friherre (1796–1868)"
Beulwitz,August v.,1784,1871,exact,1,Reg0037770,"Beulwitz, August von (1784–1851)"
Beust,"Cécile v., Grevinde, f. Friherreinde v. Gersdorff",1821,1872,exact,1,Reg0037800,"Beust, Cécile von, Grevinde, f. Friherreinde von Gersdorff (1821–1872)"
Beust,"Friedrich v., Greve",1813,1889,exact,1,Reg0037810,"Beust, Friedrich von, Greve (1813–1889)"
Beutner,Fanny,1827,1879,exact,1,Reg0037820,"Beutner, Fanny (1827–1879)"
Beutner,"Nanna, f. Drewsen",1807,1881,exact,1,Reg0037830,"Beutner, Nanna, f. Drewsen (1807–1881)"
Drewsen,"g. m. S. N. B. IV, 160. V, 261, 418, 428. Beutner, S. N.",1794,1880,surname_only,3,Reg0053350;Reg0053410;Reg0053620,"Drewsen, Aage (1855–ca. 1919) | Drewsen, Elisa, f. Hallady (død 1907) | Drewsen, Paul (1866–1907(?))"
Bielke,Rudolph,1810,1855,exact,1,Reg0037950,"Bielke, Rudolph (1810–1855)"
Bille,C. St. A.,1828,1898,exact,1,Reg0038130,"Bille, C. St. A. (1828–1898)"
Bille,Christian,1799,1853,ambiguous,2,Reg0038150;Reg0038180,"Bille, Christian (1799–1853) | Bille, Holger Adolf (1799–1866)"
Bille,Frantz,1832,1918,exact,1,Reg0038170,"Bille, Frantz (1832–1918)"
Bille,"Ida Marie, f. Komtesse Bille-Brahe",1822,1902,exact,1,Reg0038190,"Bille, Ida Marie, f. Komtesse Bille-Brahe (1822–1902)"
Bille,"Louise, f. Ipsen",1841,1926,exact,1,Reg0038220,"Bille, Louise, f. Ipsen (1841–1926)"
Bille-Brahe,"Camilla Sophie, Baronesse, f. af Harmens",1829,1890,exact,1,Reg0038280,"Bille-Brahe, Camilla Sofia, Baronesse, f. af Harmens (1829–1890)"
Bille-Brahe,"Frants Preben, Baron",1824,1882,exact,1,Reg0038350,"Bille-Brahe, Preben, Baron (1824–1882)"
Bindesbøll,Gottlieb,1800,1856,exact,1,Reg0038410,"Bindesbøll, Gottlieb (1800–1856)"
Bindesbøll,Jakob Hornemann,1789,1852,surname_year_mismatch,6,Reg0038400;Reg0038410;Reg0038420;Reg0038430;Reg0038440;Reg0038450,"Bindesbøll, Anna Caroline, f. Løwensøn (1813–1899) | Bindesbøll, Gottlieb (1800–1856) | Bindesbøll, Johan Henrik (1819–1866) | Bindesbøll, Severin (1798–1871) | Bindesbøll, Sophie Amalie, f. Friis (1793–1871) | Bindesbøll, Thorvald (1846–1908)"
Bindesbøll,Johan Henrik,1819,1866,exact,1,Reg0038420,"Bindesbøll, Johan Henrik (1819–1866)"
Bindesbøll,Severin,1798,1871,exact,1,Reg0038430,"Bindesbøll, Severin (1798–1871)"
Bindesbøll,"Sophie Amalie, f. Friis",1793,1871,exact,1,Reg0038440,"Bindesbøll, Sophie Amalie, f. Friis (1793–1871)"
Bing,M. H.,1807,1883,exact,1,Reg0038520,"Bing, Meyer Herman (1807–1883)"
Birch-Pfeiffer,"Charlotte, f. Pfeiffer",1800,1868,exact,1,Reg0038640,"Birch-Pfeiffer, Charlotte, f. Pfeiffer (1800–1868)"
Birckner,M. G.,1756,1798,exact,1,Reg0038660,"Birckner, Michael Gottlieb (1756–1798)"
