collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Brockhaus,"Pauline, f. Campe",1808,1886,exact,1,Reg0042920,"Brockhaus, Pauline, f. Campe (1808–1886)"
Brockhausen,"Adolf v., Friherre",1801,1858,exact,1,Reg0042930,"Brockhausen, Adolf von, Friherre (1801–1858)"
Bronté,Charlotte,1816,1855,exact,1,Reg0043070,"Bronte, Charlotte (1816–1855)"
Brorson,H. A.,1694,1764,none,0,,
Brosbøll,Carl,1816,1900,exact,1,Reg0043130,"Brosbøll, Carl (Carit Etlar) (1816–1900)"
Brun,Carl Friderich Balthasar,1784,1869,exact,1,Reg0043290,"Brun, Carl Friderich (1784–1869)"
Brun,M. W.,1819,1891,exact,1,Reg0043380,"Brun, M. W. (1819–1891)"
Bruun,August,1817,1887,surname_only,7,Reg0043520;Reg0043530;Reg0043540;Reg0043550;Reg0043640;Reg0043660;Reg0043760,"Bruun | Bruun | Bruun | Bruun | Bruun, Frederik Christian (død 1870, 73 år gl.) | Bruun, G. L. (død 1892, 65 år gl.) | Bruun, Mary"
Bruun,Camillo,1818,1880,exact,1,Reg0043590,"Bruun, Gamillo (1818–1880)"
Bruun,"Hanne, f. Plum",1798,1878,exact,1,Reg0043680,"Bruun, Hanne Antonie Jacobine Christiane, f. Plum (1798–1878)"
Bruun,Hans Brøchner,1793,1863,exact,1,Reg0043690,"Bruun, Hans Brøchner (1793–1863)"
Bræstrup,Cosmus,1789,1870,exact,1,Reg0043880,"Bræstrup, Cosmus (1789–1870)"
Buchheister,H.,1825,1906,exact,1,Reg0044070,"Buchheister, H. (1825–1906)"
Buchwaldt,"Johanne v., f. Colbiørnsen",1791,1848,none,0,,
Buli,Ole,1810,1880,exact,1,Reg0044310,"Buli, Søren Christian Ørsted (1810–1893)"
Bunkeflod,Anna Margrethe,1759,1849,exact,1,Reg0044340,"Bunkeflod, Anna Margrethe (1759–1849)"
Buntzen,Andreas,1811,1880,exact,1,Reg0044380,"Buntzen, Andreas (1811–1880)"
Buntzen,Heinrich,1803,1892,exact,1,Reg0044430,"Buntzen, Heinrich (1803–1892)"
Burdett-Coutts,Angela Georgina,1814,1907,none,0,,
Burns,Robert,1759,1796,surname_only,1,Reg0044500,"Burns, Cleland"
Butenschøn,"Emma, f. Bang",1811,1882,exact,1,Reg0044570,"Butenschön, Emma, f. Bang (1811–1882)"
Butenschøn,N. P.,1808,1879,exact,1,Reg0044590,"Butenschön, N. P. (1808–1879)"
Bügel,"Catharina, f. Adzer",1767,1845,exact,1,Reg0044620,"Bügel, Catharina, f. Adzer (1767–1845)"
Bülow,"Augusta v., f. Baronesse Güldencrone",1772,1852,surname_only,3,Reg0044640;Reg0044650;Reg0044780,"Bülow | Bülow, Frue | Bülow, Sophie Wilhelmine, f. Hasle (1819–?)"
Bülow,Franz,1818,1900,exact,1,Reg0044680,"Bülow, Franz (1818–1900)"
Bülow,"Frederikke, f. Riegels",1825,1911,exact,1,Reg0044710,"Bülow, Frederikke (Friede), f. Riegels (1825–1911)"
Bülow,Margrethe v.,1809,1845,surname_only,3,Reg0044640;Reg0044650;Reg0044780,"Bülow | Bülow, Frue | Bülow, Sophie Wilhelmine, f. Hasle (1819–?)"
Bürde-Ney,Jenny,1826,1886,exact,1,Reg0044830,"Bürde-Ney, Jenny (1826–1886)"
Bürger,"Elise, f. Hahn",1769,1833,surname_year_mismatch,1,Reg0044840,"Bürger, G. A. (1747–1794)"
Bürger,G. A.,1747,1794,exact,1,Reg0044840,"Bürger, G. A. (1747–1794)"
Byron,"George Gordon, Lord",1788,1824,exact,1,Reg0044850,"Byron, George Gordon, Lord (1788–1824)"
Byström,Constantino,1813,,surname_year_mismatch,1,Reg0044890,"Byström, J. N. (1783–1848)"
Bäckman,W. O. A.,1824,1911,none,0,,
Bærentzen,Em.,1799,1868,none,0,,
Bødtcher,Ludvig,1793,1874,exact,1,Reg0044970,"Bødtcher, Ludvig (1793–1874)"
Bøgh,Frederik,1836,1882,ambiguous,2,Reg0045040;Reg0045060,"Bøgh, Elisabeth (Elisa), f. Plum (1836–1910) | Bøgh, Frederik (1836–1882)"
Böttger,Adolf,1815,1870,exact,1,Reg0045150,"Böttger, Adolf (1815–1870)"
Bøving,Poul Jacob,1799,1885,none,0,,
Cambridge,"Adolphus Frederick, Hertug af —",1774,1850,exact,1,Reg0045420,"Cambridge, Adolphus Frederick, Hertug af – (1774–1850)"
Cambridge,"Augusta, Hertuginde af —, f. Landgrevinde af Hessen-Kassel",1797,1889,exact,1,Reg0045430,"Cambridge, Augusta, Hertuginde af –, f. Prinsesse af Hessen-Kassel (1797–1889)"
Camöes,Luiz Vaz de,1525,1580,surname_year_mismatch,1,Reg0045450,"Camöes, Luis Vaz de (1524–1580)"
Campe,Friedrich,1777,1846,exact,1,Reg0045470,"Campe, Friedrich (1777–1846)"
Canova,Antonio,1757,1822,exact,1,Reg0045560,"Canova, Antonio (1757–1822)"
Teater,"senere i Tivoli III, 67. V, 287. Carstensen, Carl",1837,1922,none,0,,
Carstensen,"Fanny Elizabeth, f. Webb",1824,1846,surname_only,3,Reg0045970;Reg0045990;Reg0046000,"Carstensen, Eduard | Carstensen, Fanny Elizabeth, f. Webb (ca. 1824–46) | Carstensen, Fr. Mylford (død 1873)"
Carstensen,Georg,1812,1857,exact,1,Reg0046010,"Carstensen, Georg (1812–1857)"
Casse,A. L.,1803,1886,exact,1,Reg0046160,"Casse, A. L. (1803–1886)"
Castelli,I. F.,1781,1862,exact,1,Reg0046220,"Castelli, Ignaz Franz (1781–1862)"
Castenschiold,Carl,1837,1919,exact,1,Reg0046270,"Castenschiold, Carl (1837–1919)"
Castenschiold,"Else Marie, f. Olsen",1805,1888,ambiguous,2,Reg0046230;Reg0046310,"Castenschiold, Adolph Frederik Holten (1805–1865) | Castenschiold, Else Marie, f. Olsen (1805–1888)"
Castenschiold,Frederikke,1831,1920,exact,1,Reg0046320,"Castenschiold, Frederikke (1831–1920)"
Castenskiold,Helmuth Grevenkop-,1838,1913,exact,1,Reg0046500,"Castenskiold, Helmuth Grevenkop- (1838–1913)"
Castenschiold,Henrik,1834,1867,exact,1,Reg0046330,"Castenschiold, Henrik Holten (1834–1867)"
Castenskiold,Jørgen Grevenkop-,1804,1874,exact,1,Reg0046520,"Castenskiold, Jørgen Grevenkop- (1804–1874)"
Castenschiold,"Lucie, f. Scavenius",1844,1920,exact,1,Reg0046400,"Castenschiold, Lucie, f. Scavenius (1844–1920)"
Castenskiold,Melchior Grevenkop-,1807,1878,exact,1,Reg0046540,"Castenskiold, Melchior Grevenkop- (1807–1878)"
Castilho,Antonio Feliciano de,1800,1875,exact,1,Reg0046620,"Castilho, Antonio Feliciano de (1800–1875)"
Castlereagh,"Fr. William Rob. Stuart, Vis­ count",1805,1872,exact,1,Reg0046680,"Castlereagh, Frederick William Robert Stewart, Viscount (1805–1872)"
Cavour,Camillo di,1810,1861,exact,1,Reg0046830,"Cavour, Camillo di, Greve (1810–1861)"
Cazalis,"Emilie Clara, f. Tutein",1800,1854,exact,1,Reg0046850,"Cazalis, Clara, f. Tutein (1800–1854)"
Cazalis,William,1803,1878,exact,1,Reg0046870,"Cazalis, William (1803–1878)"
Cerillo,"Gabrielle, f. Knudsen",1804,1884,surname_only,1,Reg0046970,"Cerillo, Pasquale (død ca. 1858)"
Cetti,G. B.,1794,1858,exact,1,Reg0047010,"Cetti, Giovanni Battista (1794–1858)"
Chamisso,Adalbert v.,1781,1838,exact,1,Reg0047060,"Chamisso, Adelbert von (1781–1838)"
Cherubini,Luigi,1760,1842,exact,1,Reg0047280,"Cherubini, Luigi (1760–1842)"
Christensen,C. F.,1805,1883,exact,1,Reg0047490,"Christensen, C. F. (1805–1883)"
Christensen,Christen,1806,1845,ambiguous,2,Reg0047510;Reg0047620,"Christensen, Christen (1806–1845) | Christensen, Sophie Dorothea, f. Byrholdt (1806–1870)"
Christensen,Harald,1823,1892,exact,1,Reg0047560,"Christensen, Harald (1823–1892)"
Christiani,Rudolf,1797,1858,exact,1,Reg0047710,"Christiani, Rudolf (1797–1858)"
Christiansen,Eduard,1831,1884,exact,1,Reg0047750,"Christiansen, Eduard (1831–1884)"
Christides,Demetrios,1795,1879,exact,1,Reg0047760,"Christides, Demetrios (1795–1879)"
Holst,"g. 1869 m. Harald C. IV, 85. V, 397. Christophersen, Harald",1838,1919,surname_only,4,Reg0071930;Reg0071960;Reg0071970;Reg0072010,"Holst, Carl | Holst, Emil | Holst, Emesta, se: Simonsen, Ernesta. | Holst, Marie"
Classen,P. H.,1804,1886,exact,1,Reg0047950,"Classen, P. H. (1804–1886)"
Clement,»Skipper«,1485,1536,none,0,,
Colbiørnsen,"Engelke Margrethe, f. Falbe",1763,1848,exact,1,Reg0048300,"Colbiørnsen, Engelke Margrethe, f. Falbe (1763–1848)"
Cold,Frederikke,1787,1860,exact,1,Reg0048340,"Cold, Frederikke (1787–1860)"
Collett,"to Fruer og to Frøkener IV, 188. V, 429. Collin, Arthur",1844,1925,surname_year_mismatch,7,Reg0048450;Reg0048460;Reg0048470;Reg0048480;Reg0048490;Reg0048500;Reg0048510,"Collett, Camilla, f. Wergeland (1813–1895) | Collett, Elise (1852–1930) | Collett, Hanne, f. Collett (1822–1914) | Collett, Johan Christian (1817–1895) | Collett, Margarethe (1849–1914) | Collett, Oscar (1845–1911) | Collett, Peter (1820–1860)"
Collin,"Augusta, f. Petzholdt",1801,1865,exact,1,Reg0048550,"Collin, Augusta, f. Petzholdt (1801–1865)"
Collin,Edgar,1836,1906,exact,1,Reg0048560,"Collin, Edgar (1836–1906)"
Collin,Elna,1842,1913,exact,1,Reg0048580,"Collin, Elna (1842–1913)"
Collin,Gerda,1841,1845,ambiguous,3,Reg0048620;Reg0048760;Reg0048780,"Collin, Helga (1841–1918) | Collin, Magdalene, f. Hansen (1841–1894) | Collin, Marie, f. Grønberg (1841–1899)"
Collin,Gottlieb,1806,1885,exact,1,Reg0048600,"Collin, Gottlieb (1806–1885)"
Collin,Helga,1841,1918,ambiguous,3,Reg0048620;Reg0048760;Reg0048780,"Collin, Helga (1841–1918) | Collin, Magdalene, f. Hansen (1841–1894) | Collin, Marie, f. Grønberg (1841–1899)"
Collin,Hjalmar,1834,1897,exact,1,Reg0048670,"Collin, Hjalmar (1834–1897)"
Collin,Jonas,1776,1861,exact,1,Reg0048690,"Collin, Jonas d.Æ. (1776–1861)"
Collin,Jonas Sigismund,1840,1905,exact,1,Reg0048700,"Collin, Jonas d.Y. (1840–1905)"
Collin,Louise,1813,1898,ambiguous,2,Reg0048650;Reg0048720,"Collin, Henriette Oline, f.Thyberg (1813–1894) | Collin, Louise (1813–1898)"
Collin,Louise,1839,1920,exact,1,Reg0048740,"Collin, Louise (1839–1920)"
Collin,"Magdalene, f. Hansen",1841,1894,ambiguous,3,Reg0048620;Reg0048760;Reg0048780,"Collin, Helga (1841–1918) | Collin, Magdalene, f. Hansen (1841–1894) | Collin, Marie, f. Grønberg (1841–1899)"
Collin,"Marie, f. Grønberg",1841,1899,ambiguous,3,Reg0048620;Reg0048760;Reg0048780,"Collin, Helga (1841–1918) | Collin, Magdalene, f. Hansen (1841–1894) | Collin, Marie, f. Grønberg (1841–1899)"
HI,"257, 259. IV, 117. V, 343- VI, 19. Collin, Mimi",1842,1855,none,0,,
Collin,Theodor,1815,1902,exact,1,Reg0048800,"Collin, Theodor (1815–1902)"
Collingwood,Cuthbert,1826,1908,none,0,,
Colsmann,Johannes,1771,1830,exact,1,Reg0048880,"Colsmann, Johannes (1771–1830)"
Cooper,J. F.,1789,1851,exact,1,Reg0049050,"Cooper, J. F. (1789–1851)"
Coopmans,Edzard Wilhelm,1782,1853,exact,1,Reg0049060,"Coopmans, Edzard Wilhelm (1782–1853)"
Coppel,Clara,1851,1927,exact,1,Reg0049100,"Coppel, Clara (1851–1927)"
Coppel,S.,1809,1890,exact,1,Reg0049120,"Coppel, S. (1809–1890)"
Corneille,Pierre,1606,1684,exact,1,Reg0049160,"Corneille, Pierre (1606–1684)"
Cornet,"Francisca, f. Kiel",1808,1870,none,0,,
Correggio,Antonio Allegri,1494,1534,exact,1,Reg0049230,"Correggio, Antonio Allegri (1494–1534)"
Cotta,"Georg v., Friherre",1796,1863,exact,1,Reg0049320,"Cotta, Wilhelm von (1796–1874)"
Cottin,"Marie, f. Ristaud",1773,1807,none,0,,
Cramer,Michael J.,1835,1898,exact,1,Reg0049440,"Cramer, Michael John (1835–1898)"
Dahl,Balduin,1834,1891,exact,1,Reg0049830,"Dahl, Balduin (1834–1891)"
Dahl,"Emma, f. Freyse",1819,1896,exact,1,Reg0049860,"Dahl, Emma, f. Freyse-Sessi (1819–1896)"
Dahl,J. C.,1788,1857,exact,1,Reg0049920,"Dahl, Johan Christian (1788–1857)"
Dahl,Johan,1807,1877,exact,1,Reg0049910,"Dahl, Johan (1807–1877)"
Dahl,Siegwald,1827,1902,exact,1,Reg0049940,"Dahl, Siegwald (1827–1902)"
Dahlerup,Jens Wilhelm,1810,1833,surname_year_mismatch,1,Reg0049980,"Dahlerup, Edvard (1812–1882)"
Daisenberger,J. A.,1799,1883,exact,1,Reg0050100,"Daisenberger, J. A. (1799–1883)"
Dalgas,"fra Livorno IV, 320. V, 479. Dalgas, Christian August",1789,1863,exact,1,Reg0050170,"Dalgas, Christian August (1789–1863)"
Dalsgaard,Christen,1824,1907,none,0,,
Damgaard,A. K.,1808,1906,exact,1,Reg0050290,"Damgaard, A. K. (1808–1906)"
Dan,"Adam, se Pedersen, Niels. Dankwart, Fr. Chr.",1782,1856,surname_only,1,Reg0050320,"Dan, Adam, se: Pedersen, Niels."
Danmark,"Alexandra, Prinsesse af —",1844,1925,exact,1,Reg0050380,"Danmark, Alexandra, Prinsesse af – (1844–1925)"
Danmark,"Christian IV, Konge af—",1577,1648,exact,1,Reg0050480,"Danmark, Christian IV, Konge af – (1577–1648)"
Danmark,"Dagmar, Prinsesse af —",1847,1928,exact,1,Reg0050570,"Danmark, Dagmar, Prinsesse af – (1847–1928)"
Danmark,"Ferdinand, Arveprins af —",1792,1863,exact,1,Reg0050600,"Danmark, Ferdinand, Arveprins af – (1792–1863)"
Danmark,"Frederik VI, Konge af —",1768,1839,exact,1,Reg0050660,"Danmark, Frederik VI, Konge af – (1768–1839)"
Danmark,"Frederik VII, Konge af —",1808,1863,exact,1,Reg0050670,"Danmark, Frederik (VII), Kronprins af – (1808–1863)"
Danmark,"Louise, Prinsesse af —, f. Prinsesse af Hessen",1817,1898,exact,1,Reg0050740,"Danmark, Louise, Prinsesse af –, f. Prinsesse af Hessen (1817–1898)"
Danmark,"Thyra, Prinsesse af —",1853,1933,exact,1,Reg0050830,"Danmark, Thyra, Prinsesse af – (1853–1933)"
Danner,"Louise, Lensgrevinde, f. Rasmussen",1815,1874,exact,1,Reg0050970,"Danner, Louise, Lensgrevinde, f. Rasmussen (1815–1874)"
Danneskiold-Samsøe,"Christian, Greve",1800,1886,exact,1,Reg0051010,"Danneskiold-Samsøe, Christian Conrad Sophus, Greve (1800–1886)"
Danneskiold-Samsøe,"Elisabeth, Grevinde, f. Brudenell-Bruce",1807,1847,exact,1,Reg0051040,"Danneskiold-Samsøe, Elisabeth, Grevinde, f. Brudenell-Bruce (1807–1847)"
Danneskiold-Samsøe,"Frederik, Lensgreve",1798,1869,exact,1,Reg0051080,"Danneskiold-Samsøe, Frederik, Lensgreve (1798–1869)"
Danneskiold-Samsøe,"Henriette, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs",1848,1897,exact,1,Reg0051120,"Danneskiold-Samsøe, Henriette, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs (1848–1897)"
Daumas,Eugène,1803,1871,exact,1,Reg0051390,"Daumas, Eugène (1803–1871)"
David,Aron,1795,1868,exact,1,Reg0051470,"David, Aron (1795–1868)"
David,Benny,1791,1884,exact,1,Reg0051490,"David, Benny (1791–1884)"
David,"Caroline, Adoptivdatter af Aron D.",1832,1878,exact,1,Reg0051510,"David, Caroline (1832–1878)"
David,C. N.,1793,1874,exact,1,Reg0051500,"David, C. N. (1793–1874)"
David,Félicien,1810,1876,ambiguous,2,Reg0051530;Reg0051540,"David, Félicien (1810–1876) | David, Ferdinand (1810–1873)"
David,Harald,1819,1871,exact,1,Reg0051560,"David, Harald (1819–1871)"
David,Ludvig,1840,1866,exact,1,Reg0051580,"David, Ludvig (1840–1866)"
Dawison,Bogumil,1818,1872,exact,1,Reg0051660,"Dawison, Bogumil (1818–1872)"
Decken,"Wilhelmine v. d., f. Brauns",1783,1858,exact,1,Reg0051760,"Decken, Wilhelmine von der, f. Brauns (1783–1858)"
Déjazet,Pauline,1797,1875,exact,1,Reg0051960,"Déjazet, Pauline (1797–1875)"
Delavigne,Casimir,1793,1843,exact,1,Reg0052020,"Delavigne, Casimir (1793–1843)"
Delbanco,Georg Christian,1848,1911,exact,1,Reg0052030,"Delbanco, Georg Christian (1848–1911)"
Delbanco,O. H.,1821,1890,exact,1,Reg0052050,"Delbanco, O. H. (1821–1890)"
Delbanco,"Pauline Antonie Augusta, f. Plätzer",1823,1904,exact,1,Reg0052060,"Delbanco, Pauline, f. Plätzer (1823–1904)"
Delong,Albert Herman Peter Gabriel,1797,1865,exact,1,Reg0052110,"Delong, Albert Herman Peter Gabriel (1797–1865)"
Deurs,H. E. van,1807,1868,none,0,,
Devrient,Eduard,1801,1877,exact,1,Reg0052310,"Devrient, Eduard (1801–1877)"
Dichman,"Sophie Frederikke, f. Qyistgaard",1796,1847,none,0,,
Dickens,Charles,1812,1870,exact,1,Reg0052440,"Dickens, Charles (1812–1870)"
Dietrichson,L.,1834,1917,exact,1,Reg0052550,"Dietrichson, L. (1834–1917)"
Dietrichson,"Mathilde, f. Bonnevie",1837,1921,exact,1,Reg0052560,"Dietrichson, Mathilde, f. Bonnevie (1837–1921)"
Dinesen,A. W.,1807,1876,exact,1,Reg0052600,"Dinesen, A. W. (1807–1876)"
Dinesen,Wilhelm,1845,1895,exact,1,Reg0052610,"Dinesen, Wilhelm (1845–1895)"
Dingelstedt,Franz v.,1814,1881,exact,1,Reg0052630,"Dingelstedt, Franz von (1814–1881)"
Dirckinck-Holmfeld,"Selma Henriette, Fri- herreinde",1806,1845,surname_year_mismatch,4,Reg0052670;Reg0052680;Reg0052690;Reg0052700,"Dirckinck-Holmfeld, Constant, Friherre (1799–1880) | Dirckinck-Holmfeld, Edwin, Friherre (1802–1896) | Dirckinck-Holmfeld, Julie Vilhelmine, Friherreinde, f. Rothe (1813–1877) | Dirckinck-Holmfeld, Ulysses, Friherre (1801–1877)"
Djørup,C.,1804,1879,ambiguous,2,Reg0052790;Reg0052800,"Djørup, C. (1804–1879) | Djørup, Michael (1804–1876)"
Dockum,Joost Ferdinand Guillaume van,1808,1868,exact,1,Reg0052830,"Dockum, Joost Ferdinand Guillaume (Vilhelm) van (1808–1868)"
Donner,"Helene, f. v. Schrøder",1819,1909,exact,1,Reg0053030,"Donner, Helene, f. von Schroder (1819–1909)"
Dor,Henri,1835,1913,exact,1,Reg0053120,"Dor, Henri (1835–1913)"
Dorph,A.,1831,1894,none,0,,
Dorph-Petersen,J. F. S.,1845,1927,exact,1,Reg0053150,"Dorph-Petersen, J. F. (1845–1927)"
Drewsen,Adolph,1803,1885,exact,1,Reg0053360,"Drewsen, Adolph (1803–1885)"
Drewsen,Carl,1795,1878,exact,1,Reg0053380,"Drewsen, Carl (1795–1878)"
Drewsen,Einar,1833,1873,exact,1,Reg0053400,"Drewsen, Einar (1833–1873)"
Drewsen,"Emmy, f. Richter",1800,1880,ambiguous,2,Reg0053440;Reg0053470,"Drewsen, Emmy, f. Richter (1800–1880) | Drewsen, Hanne, f. Wismer (1800–1890)"
Drewsen,"Hanne, f. Wismer",1800,1890,ambiguous,2,Reg0053440;Reg0053470,"Drewsen, Emmy, f. Richter (1800–1880) | Drewsen, Hanne, f. Wismer (1800–1890)"
Drewsen,Harald,1836,1878,exact,1,Reg0053480,"Drewsen, Harald (1836–1878)"
Drewsen,"Ingeborg, f. Collin",1804,1877,ambiguous,2,Reg0053490;Reg0053600,"Drewsen, Ingeborg, f. Collin (1804–1877) | Drewsen, Michael (1804–1874)"
Drewsen,"Ingeborg, f. Lind",1841,1924,exact,1,Reg0053500,"Drewsen, Ingeborg, f. Lind (1841–1924)"
Drewsen,J. C.,1777,1851,exact,1,Reg0053520,"Drewsen, J. G. (1777–1851)"
Drewsen,Johanne,1831,1892,ambiguous,2,Reg0053540;Reg0053610,"Drewsen, Johanne (1831–1892) | Drewsen, Olivia, f. Furst (1831–1888)"
Drewsen,Jonna,1827,1878,exact,1,Reg0053560,"Drewsen, Jonna (1827–1878)"
Drewsen,"Louise, f. Collin",1839,1920,exact,1,Reg0053580,"Drewsen, Louise, f. Collin (1839–1920)"
Drewsen,Michael,1804,1874,ambiguous,2,Reg0053490;Reg0053600,"Drewsen, Ingeborg, f. Collin (1804–1877) | Drewsen, Michael (1804–1874)"
Drewsen,Svend,1874,1934,exact,1,Reg0053660,"Drewsen, Svend (1874–1934)"
Drewsen,Viggo,1830,1888,exact,1,Reg0053680,"Drewsen, Viggo (1830–1888)"
Drouet,Henri,1829,1900,exact,1,Reg0053790,"Drouet, Henri (1829–1900)"
Dunlop,Agnes,1830,1908,exact,1,Reg0054060,"Dunlop, Agnes (1830–1908)"
Duntzfelt,William Frederik,1792,1863,exact,1,Reg0054100,"Duntzfelt, William Frederik (1792–1863)"
Duport,Paul,1798,1866,exact,1,Reg0054130,"Duport, Paul (1798–1866)"
Durham,Joseph,1821,1877,exact,1,Reg0054200,"Durham, Joseph (1821–1877)"
Duse,August,1817,1849,exact,1,Reg0054220,"Düse, August (1817–1849)"
Dyck,A. van,1599,1641,exact,1,Reg0054260,"Dyck, A. van (1599–1641)"
Düring-Rosenkrantz,"Ernst v., Baron",1830,1890,exact,1,Reg0054360,"Düring-Rosenkrantz, Ernst von, Baron (1830–1890)"
Ebert,Friedrich Adolf,1791,1834,exact,1,Reg0054560,"Ebert, Friedrich Adolf (1791–1834)"
Eckard,F. A.,1805,1867,exact,1,Reg0054580,"Eckard, F. A. (1805–1867)"
Eckardt,"Josephine, f. Thorberg",1839,1906,exact,1,Reg0054640,"Eckardt, Josephine, f. Thorberg (1839–1906)"
Eckermann,Johann Peter,1792,1854,exact,1,Reg0054690,"Eckermann, Johann Peter (1792–1854)"
Ehlers,E. D.,1812,1893,exact,1,Reg0054980,"Ehlers, E. D. (1812–1893)"
Eichmüller,Georg Vilhelm,1808,1849,exact,1,Reg0055080,"Eichmüller, Georg Vilhelm (1808–1849)"
Eisendecher,Wilhelm v.,1803,1880,exact,1,Reg0055180,"Eisendecher, Wilhelm von (1803–1880)"
Ellbrecht,Anthon Günther v.,1790,1857,none,0,,
Elmquist,A. F.,1788,1868,exact,1,Reg0055270,"Elmquist, A. F. (1788–1868)"
Elssler,Fanny,1810,1884,exact,1,Reg0055290,"Elssler, Fanny (1810–1884)"
Emil,"se Hornemann, Emil. Engel, Max v.",1795,1881,surname_only,1,Reg0055350,"Emil, se: Hartmann, Emil, Hornemann, Emil, Hundrup, Emil og Melchior, Emil."
Engelstoft,C. T.,1805,1889,exact,1,Reg0055460,"Engelstoft, C. T. (1805–1889)"
Engelstoft,"Louise, f. Holm",1817,1898,exact,1,Reg0055510,"Engelstoft, Louise, f. Holm (1817–1898)"
England,"Victoria I, Dronning af—",1819,1901,surname_only,1,Reg0055520,"England, se også: Storbritannien."
Erslev,Emil,1817,1882,exact,1,Reg0055740,"Erslev, Emil (1817–1882)"
Eschricht,D. F.,1798,1863,surname_year_mismatch,1,Reg0055870,"Eschricht, Mariane Lucie Charlotte, f. Petit (1811–1879)"
Estrup,Christen,1790,1868,surname_year_mismatch,3,Reg0055950;Reg0055960;Reg0055970,"Estrup, Arentine Kirstine (1796–1865) | Estrup, H. F. J. (1794–1846) | Estrup, J. B. S. (1825–1913)"
Ewald,Carl v.,1789,1866,exact,1,Reg0056100,"Ewald, Carl von (1789–1866)"
Ewald,H. F.,1821,1908,exact,1,Reg0056110,"Ewald, H.F. (1821–1908)"
Ewald,Johannes,1743,1781,exact,1,Reg0056120,"Ewald, Johannes (1743–1781)"
Faaborg,Christian,1811,1857,exact,1,Reg0056190,"Faaborg, Christian (1811–1857)"
Faaborg,Th.,1814,1864,exact,1,Reg0056200,"Faaborg, Th. (1814–1864)"
Faber,"Frk., Datter af Nicolai F. I, 270, V, 70. Faber, Nicolai",1789,1848,surname_year_mismatch,4,Reg0056230;Reg0056240;Reg0056250;Reg0056260,"Faber, Chr. G. W. (1822–1883) | Faber, Ludvig (1798–1876) | Faber, Marie (1854–1934) | Faber, Peter (1810–1877)"
Fabricius,Frederik,1789,1873,exact,1,Reg0056350,"Fabricius, Frederik (1789–1873)"
Bibliotek,"Regensviceprovst II, 4. V, 118. Fabritius, Cathrine Amalia",1807,1873,none,0,,
Falbe,Christian Frederik,1828,1896,exact,1,Reg0056530,"Falbe, Christian Frederik (1828–1896)"
Falbe,Christian Tuxen,1791,1849,exact,1,Reg0056540,"Falbe, Christian Tuxen (1791–1849)"
Falbe,"Clara, f. Ipsen",1800,1877,exact,1,Reg0056570,"Falbe, Clara, f. Ipsen (1800–1877)"
Herredsfoged,"Etatsraad C. A. F., Odense I, 269. V, 69. Falbe, Vigant",1826,1871,none,0,,
Falkenstein,Constantin,1801,1855,ambiguous,2,Reg0056720;Reg0056740,"Falkenstein, Constantin (1801–1855) | Falkenstein, Johann Paul (1801–1882)"
Falkenstein,"Elise, f. v. Erdmannsdorff",1806,1868,exact,1,Reg0056730,"Falkenstein, Elise, f. von Erdmannsdorff (1806–1868)"
Falkenstein,Johann Paul v.,1801,1882,ambiguous,2,Reg0056720;Reg0056740,"Falkenstein, Constantin (1801–1855) | Falkenstein, Johann Paul (1801–1882)"
Faust,Johann,1490,1539,exact,1,Reg0056890,"Faust, Johann (ca. 1490–1539)"
Faye,Andreas,1802,1869,exact,1,Reg0056910,"Faye, Andreas (1802–1869)"
Fearnley,Henri Emil,1813,1879,exact,1,Reg0056970,"Fearnley, Henri Emil (1813–1879)"
Feddersen,F.,1805,1863,exact,1,Reg0057020,"Feddersen, Fr. (1805–1863)"
Feilberg,"Anna, f. Nutzhorn",1831,1897,none,0,,
Nutzhorn,"g. 1860 m. H. F. F. III, 62. V, 285, 379. Feilberg, H. F.",1831,1921,surname_year_mismatch,4,Reg0097000;Reg0097010;Reg0097020;Reg0097030,"Nutzhorn, Ditlev von (1800–1865) | Nutzhorn, Ditlev Andersen von (1840–1864) | Nutzhorn, Fr. von (1834–1866) | Nutzhorn, Marie von (1840–1932)"
Feilberg,Peter,1835,1925,none,0,,
Feilden,"Sir William Henry, Baronet",1812,1879,none,0,,
Fenger,G. E.,1814,1884,exact,1,Reg0057120,"Fenger, C. E. (1814–1884)"
Fenger,Chr.,1773,1845,surname_only,1,Reg0057170,"Fenger, Tabitha Christence (1861–?)"
Fenger,Frederik,1774,1857,surname_only,1,Reg0057170,"Fenger, Tabitha Christence (1861–?)"
Fenger,"Ida, f. Plockross",1827,1882,exact,1,Reg0057140,"Fenger, Ida Louise, f. Plockross (1827–1882)"
Fenger,Theodor,1816,1889,exact,1,Reg0057180,"Fenger, Theodor (1816–1889)"
Ferslev,Christian,1817,1883,exact,1,Reg0057320,"Ferslev, Christian (1817–1883)"
Fibiger,Ilia,1817,1867,exact,1,Reg0057410,"Fibiger, Ilia (1817–1867)"
Fibiger,Mathilde,1830,1872,exact,1,Reg0057450,"Fibiger, Mathilde (1830–1872)"
Fielding,Henry,1707,1754,none,0,,
