entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
P1000000,person,PERSON-REGISTER,,,,Åberg,"Svensk rejsende, Italien 1834.",,,,,
P1002000,person,PERSON-REGISTER,,,,Aaberg,Tigger.,,,,,
P1002200,person,PERSON-REGISTER,,,,"Aabye, Johan Peter (1818–1880)","Distriktslæge i Flensborg 1858–1864, 1867 stadsfysikus i Helsingør.",,,1818–1880,,
P1002400,person,PERSON-REGISTER,,,,Aagaard,»ude fra Kalundborg-Kanten(?)« (19.5.1872),,,,,
P1002600,person,PERSON-REGISTER,,,,"Aagaard, C.F. (1833–1895)","Landskabsmaler, tit. Professor 1892.",,,1833–1895,,
P1003200,person,PERSON-REGISTER,,,,"Aagaard, Johan Peter (1818–1879)",Xylograf.,,,1818–1879,,
P1003600,person,PERSON-REGISTER,,,,"Aagesen, Andreas (1826–1879)","Kancellist i Justitsministeriet, 1855 lektor og 1856 professor i retsvidenskab ved Københavns Universitet.",,,1826–1879,,
P1004600,person,PERSON-REGISTER,,,,"Aall, Jørgen (1806–1894)","Norsk Auditør, senere Amtmand over Bratsberg Amt og Stortingspræsident.",,,1806–1894,,
P1005200,person,PERSON-REGISTER,,,,"Aman, Alfred Teodor (1827–1870)","Søn af J.A.A., Underløjtnant ved 1. Livgrenaderregiment 1848, 2. Løjtnant 1851, Kaptajn 1863.",,,1827–1870,,
P1005400,person,PERSON-REGISTER,,,,"Aarestrup, Caroline, f. Aagaard (1808–1897)",g. 1827 m. Emil Aa.,,,1808–1897,,
P1005600,person,PERSON-REGISTER,,,,"Aarestrup, Emil (1800–1856)","Digter og Læge, 1849 Stiftsfysikus i Odense.",,,1800–1856,,
P1005800,person,PERSON-REGISTER,,,,"Aarsleff, Hans Christian (1812–1878)",Apoteker i Præstø.,,,1812–1878,,
P1006000,person,PERSON-REGISTER,,,,"Aarøe, Christian (1828–1886)","Kaptajn af Infanteriet, 1864 Leder af »Aarøes Korps«.",,,1828–1886,,
P1007200,person,PERSON-REGISTER,,,,"Abad, Leandro",Hotelvært i Toledo.,,,,,
P1007400,person,PERSON-REGISTER,,,,"Abbott, John",Engelsk Ingeniør i Indien.,,,,,
P1007600,person,PERSON-REGISTER,,,,"Abbott, Ingeborg, f. Stephens (1839–1911)","Datter af George Stephens, g. 1856 m. John A., senere m. Konsul i Malmø H.J.F. Friis.",,,1839–1911,,
P1008000,person,PERSON-REGISTER,,,,Abd-el-Kader (1807–1883),"Emir af Maskara, algiersk Frihedskæmper.",,,1807–1883,,
P1008200,person,PERSON-REGISTER,,,,Abel,Breitenburg 4.11.1840.,,,,,
P1008400,person,PERSON-REGISTER,,,,"Abel, Jacob",Gæstgiver i Hillerød.,,,,,
P1008800,person,PERSON-REGISTER,,,,Abencerragerne,Fornem maurisk Slægt i Granadas sidste Tid.,,,,,
P1009000,person,PERSON-REGISTER,,,,"Abendrot, August (død 1867)","Tysk Kunstmæcen i Hamburg, dr.jur.",,,1867,,
P1009200,person,PERSON-REGISTER,,,,Abner,"Tysk Komponist, Stuttgart 30.9.1860.",,,,,
P1009400,person,PERSON-REGISTER,,,,"Abrahams, Arthur (1836–1905)","Søn af N.C.L.A., cand. phil., Sproglærer, 1895 Klasselotterikollektør.",,,1836–1905,,
P1009800,person,PERSON-REGISTER,,,,"Abrahams, Frederikke, f.Philipsen (1810–1852)","Søster til Philip Philipsen, g. 1835 m. N.C.L.A.",,,1810–1852,,
