entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
P1010000,person,PERSON-REGISTER,,,,"Abrahams, N.C.L. (1798–1870)","Professor ved Københavns Universitet i Fransk 1832, tillige i Tysk 1839, Notarius publicus 1852, Etatsraad 1853, Konferensraad 1869.",,,1798–1870,,
P1012400,person,PERSON-REGISTER,,,,"Abrahams, Severin (1843–1900)","Søn af N.C.L.A., Skuespiller ved Det kgl. Teater 1868–1869, ved Folketeatret 1871, Direktør sst. 1884.",,,1843–1900,,
P1012800,person,PERSON-REGISTER,,,,"Abrahamson, Anton (1829–1908)","Broder til Fru Therese Henriques, Typograf.",,,1829–1908,,
P1013200,person,PERSON-REGISTER,,,,"Abrahamson, Arnold (1830–1910)","Søstersøn af M.G.Melchior, Grosserer i London.",,,1830–1910,,
P1013600,person,PERSON-REGISTER,,,,"Abrahamson, Joseph (1789–1847)","Broder til Fru Signe Læssøe, Generalkrigskommissær, Oberstløjtnant, dr.phil.",,,1789–1847,,
P1014000,person,PERSON-REGISTER,,,,Absalon (ca. 1128–1201),"Ærkebiskop, Statsmand.",,,1128–1201,,
P1014400,person,PERSON-REGISTER,,,,"Achard, Anna",Pensionatsværtinde i Genève 1860.,,,,,
P1015200,person,PERSON-REGISTER,,,,"Achard, Léon (1831–1905)",Fransk Operasanger.,,,1831–1905,,
P1015400,person,PERSON-REGISTER,,,,"Achard, Louis-Amédée-Eugène (1814–1875)",Fransk Forfatter.,,,1814–1875,,
P1015600,person,PERSON-REGISTER,,,,"Achenbach, Andreas (1815–1910)","Tysk Landskabsmaler, Düsseldorf.",,,1815–1910,,
P1015800,person,PERSON-REGISTER,,,,"Achte, Frk.",Weimar 23.1.1846.,,,,,
P1016000,person,PERSON-REGISTER,,,,"Ackermann, Karoline Mathilde Antonie (1833–?)",Datter af G.A.L.A.,,,1833,,
P1016200,person,PERSON-REGISTER,,,,"Ackermann, Constantin Adolph Ludwig (1799–1877)","Hofpræst, Meiningen.",,,1799–1877,,
P1016400,person,PERSON-REGISTER,,,,"Adam, Adolphe (1803–1856)",Fransk Operakomponist.,,,1803–1856,,
P1016600,person,PERSON-REGISTER,,,,"Adam, Albrecht (1786–1862)",Tysk Historiemaler.,,,1786–1862,,
P1017000,person,PERSON-REGISTER,,,,Adam Marko,Valakisk Bondedreng.,,,,,
P1017200,person,PERSON-REGISTER,,,,"Adama van Scheltema, Carel Steven (1815–1897)","Præst i Amsterdam, religiøs Digter.",,,1815–1897,,
P1017400,person,PERSON-REGISTER,,,,"Adami, Heinrich (1807–1865)",Østrigsk Forfatter.,,,1807–1865,,
P1017600,person,PERSON-REGISTER,,,,"Adams, John Couch (1819–1892)","Engelsk Astronom, 1858 Professor ved Gambridge Universitet.",,,1819–1892,,
P1017800,person,PERSON-REGISTER,,,,"Adelsvärd, Georg Nikolaus, Friherre (1810–1878)",Svensk Gesandt i Paris 1858–1877.,,,1810–1878,,
P1018000,person,PERSON-REGISTER,,,,Aderhas,"Russisk Rejsende, Konstantinopel 1841.",,,,,
P1018200,person,PERSON-REGISTER,,,,Adler,"»en Fætter til de kjøbenhavnske«, Altona 4.6.1867.",,,,,
P1018600,person,PERSON-REGISTER,,,,"Adler, D. B. (1826–1878)","Grosserer, Bankier, Folketingsmand 1864–1869, Landstingsmand 1874–1878.",,,1826–1878,,
P1022400,person,PERSON-REGISTER,,,,"Adler, Emma (1855–1912)","Datter af D.B.A., g. 1903 m. Politikeren og Pædagogen Herman Trier.",,,1855–1912,,
P1022600,person,PERSON-REGISTER,,,,"Adler, I. B. (1817–1880)",Læge.,,,1817–1880,,
P1024600,person,PERSON-REGISTER,,,,"Adler, Jenny, f. Raphael (1830–1902)",g. 1849 m. D.B.A.,,,1830–1902,,
P1026000,person,PERSON-REGISTER,,,,"Adler, Johan Gunder (1784–1852)","Kabinetssekretær hos Prins Christian (VIII), 1840 Gehejmekabinetssekretær, 1839–1849 Medlem af Det kgl. Teaters Direktion; Etatsraad 1828, Gehejmeetatsraad 1840, Gehejmekonferensraad 1848.",,,1784–1852,,
P1027800,person,PERSON-REGISTER,,,,"Adlersparre, Carl August, Greve (1810–1862)",Svensk Digter (Albano).,,,1810–1862,,
P1028000,person,PERSON-REGISTER,,,,"Adolph, Frantz Th. (1844–1907)","Grosserer i København, Etatsraad 1899.",,,1844–1907,,
P1028200,person,PERSON-REGISTER,,,,"Adolph, Julie Elisa, f. Schack (1847–1922)",g. 1869 m. F.Th.A.,,,1847–1922,,
P1028400,person,PERSON-REGISTER,,,,"Afzelius, Arvid August (1785–1871)","Svensk Præst, Digter og Videnskabsmand, Folkevise-Udgiver.",,,1785–1871,,
P1028600,person,PERSON-REGISTER,,,,"Afzelius, Augusta, f. Nielsen (1822–1902)","fhv. Solodanserinde ved Det kgl. Teater, g. 1849 m. dansk Premierløjtnant, senere svensk Toldinspektør i Simrishamn A.J.A., Ægteskabet opløst 1851.",,,1822–1902,,
P1028800,person,PERSON-REGISTER,,,,"Afzelius, Henri Gustaf William (1850–1908)","Søn af Augusta A., Løjtnant ved Dragonerne, derefter Vinhandler, senere Toldforvalter i Gedser.",,,1850–1908,,
P1029000,person,PERSON-REGISTER,,,,"Agerskov, A. J. H. (1811–1872)","Premierløjtnant i Søetaten, 1847 Næstkommanderende i Vagtskibet Elben ved Altona, senere Udskrivningschef og kar.Kommandør.",,,1811–1872,,
P1029200,person,PERSON-REGISTER,,,,"Agerskov, Chr. (1809–1892)","cand. phil., Dansklærer ved Efterslægtens Skole.",,,1809–1892,,
P1029400,person,PERSON-REGISTER,,,,"Agier, Eline, f. Heger (1808–1904)","Søster til Elisabeth Holst, Enke efter Regimentskirurg, Læge i Vemmetofte Marc Alexis A.",,,1808–1904,,
P1029600,person,PERSON-REGISTER,,,,"Agier, Jean Frédéric Jacques (1831–1853)","Søn af Eline A., 1842–1846 Elev på Sorø Akademis Skole, død som Styrmand på Rejse fra Rio til Hamburg.",,,1831–1853,,
P1029800,person,PERSON-REGISTER,,,,"Agnello (eller: Agnelli), Salvatore (1817–1874)",Italiensk Operakomponist.,,,1817–1874,,
P1030000,person,PERSON-REGISTER,,,,Agrela,Bankier i Granada.,,,,,
P1030200,person,PERSON-REGISTER,,,,Agrippina d.Æ. (død 33),"g.m. Germanicus, Moder til Caligula.",,,,,
P1030400,person,PERSON-REGISTER,,,,"Ahlefeldt, Nizza",November 1869.,,,,,
P1030600,person,PERSON-REGISTER,,,,"Ahlefeldt, Frøken",Itzehoe 16.2.1843.,,,,,
P1030800,person,PERSON-REGISTER,,,,"Ahlefeldt, Greve",Hamburg 29.5.1843.,,,,,
P1031000,person,PERSON-REGISTER,,,,"Ahlefeldt, Grevinde",Berlin 1.1.1846.,,,,,
P1031200,person,PERSON-REGISTER,,,,"Ahlefeldt, Carl Fr. Ludw. Hermann von, Greve (1806–1855)","Legationssekretær i Paris, Kammerjunker, 1849 Afsked og Kammerherre, Besidder af Ludwigsburg og Rothensande, 1853 1. Stænderdeputeret for Slesvigs Ridderskab.",,,1806–1855,,
P1033200,person,PERSON-REGISTER,,,,"Ahlefeldt, Charlotte Elisabeth Sophie Wilhelmine von, Grevinde, f. von Seebach (1781–1849)","Tysk Forfatterinde, Weimar.",,,1781–1849,,
P1033800,person,PERSON-REGISTER,,,,"Ahlefeldt, Conrad Christopher, Greve (1768–1853)","Kammerherre, Klosterprovst i Uetersen, Besidder af Ascheberg.",,,1768–1853,,
P1034200,person,PERSON-REGISTER,,,,"Ahlefeldt, Frederik Christian (1652–1669)",Dansk Student i Strassburg.,,,1652–1669,,
P1034400,person,PERSON-REGISTER,,,,"Ahlefeldt, Hans (1624–1694)",Generalløjtnant.,,,1624–1694,,
P1034600,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Adolph, Greve (1823–1910)","Søn af Carl A.-L. (1792–1871), cand. jur., 1866 Postmester i Lyngby, 1874–1893 i Ringsted.",,,1823–1910,,
P1034800,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Angelique Emilie Rosalie, Grevinde, f. Weiss (1822–1884)",g. 1856 m. Adolph A.L.,,,1822–1884,,
P1035000,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Antoinette Nancy, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs (1797–1883)","g. 1818 m. Ceremonimester, Grev G.F.C.A.-L.",,,1797–1883,,
P1036000,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Carl, Greve (1792–1871)","Gehejmekonferensraad, Overceremonimester.",,,1792–1871,,
P1037200,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Carl, Greve (1861–1928)","Søn af Frederik A.-L., senere Postexpedient.",,,1861–1928,,
P1037800,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Frederik, Greve (1834–1888)","Søn af Carl A.-L. (1792–1871), Premierløjtnant, senere Besidder af Møllerup og Hofjægermester.",,,1834–1888,,
P1039000,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Julie, Lensgrevinde, f. Komtesse Wedell-Wedellsborg (1791–1877)","g. 1812 m. Lensgreve Christian Johan Frederik A.-L. til Grevskabet Langeland, Laurvig, Ahlefeldt og Lundsgaard.",,,1791–1877,,
P1040400,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Louise, Grevinde, f. Baronesse Zytphen-Adeler (1836–1922)",g. 1857 m. Vilhelm A.-L.,,,1836–1922,,
P1040800,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Louise, Grevinde, f. Neergaard (1840–1900)","Datter af Johan Ferdinand N., g. 1860 m. Frederik A.-L.",,,1840–1900,,
P1041800,person,PERSON-REGISTER,,,,"Ahlefeldt-Laurvigen, Vilhelm, Greve (1830–1897)","Søn af Carl A.-L., Premierløjtnant i Livgarden, Kavalier hos Enkedronning Caroline Amalie, senere Kammerherre og Meddirektør for det Classenske Fideikommis.",,,1830–1897,,
P1042800,person,PERSON-REGISTER,,,,"Ahlgrensson, Fritz (1838–1902)",Svensk Teatermaler.,,,1838–1902,,
P1043000,person,PERSON-REGISTER,,,,"Ahlman, Doris (1848–1911)","Datter af Nicolai A., g. 1873 m. Edmond Bournonville.",,,1848–1911,,
P1043200,person,PERSON-REGISTER,,,,"Ahlmann, Hans (1803–1870)",Sognepræst i Svenstrup på Als 1836–1870.,,,1803–1870,,
P1043400,person,PERSON-REGISTER,,,,"Ahlmann, Nicolai (1809–1890)","nordslesvigsk Politiker, Medlem af den preussiske Landdag 1867–1875.",,,1809–1890,,
P1043600,person,PERSON-REGISTER,,,,"Ahrenberg, C. W. (1807–1880)","fil.mag., senere Rektor i Viborg, Finland.",,,1807–1880,,
P1043800,person,PERSON-REGISTER,,,,Ahrens (Arenz),"Portugiser, Setübal.",,,,,
P1044800,person,PERSON-REGISTER,,,,"Ainsworth, William Harrison (1805–1882)",Engelsk Romanforfatter.,,,1805–1882,,
P1045000,person,PERSON-REGISTER,,,,Aischylos (525–456 f. Chr.),græsk Tragediedigter.,,,-525–-456,,
P1045200,person,PERSON-REGISTER,,,,Aken(?),Athen 6.4.1841.,,,,,
P1045400,person,PERSON-REGISTER,,,,"Alayrac, Nicolas d’ (1753–1809)",Fransk Operakomponist.,,,1753–1809,,
P1045600,person,PERSON-REGISTER,,,,"Albani, Francesco (1578–1660)",Italiensk Maler.,,,1578–1660,,
P1046000,person,PERSON-REGISTER,,,,"Albany, Louise, Grevinde, f. Komtesse Stolberg (1753–1824)","g. 1772–1784 m. Prætendenten Charles Edward Stuart, Greve A.; Alfieris Elskede.",,,1753–1824,,
P1046200,person,PERSON-REGISTER,,,,"Albeck, Carl (1830–1905)","Fabriksbestyrer, senere Grosserer.",,,1830–1905,,
P1046400,person,PERSON-REGISTER,,,,"Albedyll, Gustav von (1790–1863)","fhv. preussisk Major, Dresden.",,,1790–1863,,
P1047600,person,PERSON-REGISTER,,,,"Albers, Moritz Karl August (1798–1868)",Læge i Hamburg.,,,1798–1868,,
P1048600,person,PERSON-REGISTER,,,,"Alberto, antigo Caballero",Granada 21.10.1862.,,,,,
P1048800,person,PERSON-REGISTER,,,,"Albrecht, Heinrich (1829–1890)",Skuespiller ved Casino.,,,1829–1890,,
P1049800,person,PERSON-REGISTER,,,,"Albrecht, Theodor (1822–1871)",Operasanger ved Det kgl. Teater.,,,1822–1871,,
P1050000,person,PERSON-REGISTER,,,,"Albuquerque, Luiz de Almeida e (1816–?)","Redaktør i Lissabon af »Lusitani«, »Paris« og »Journal de Comercio«.",,,1816,,
P1050200,person,PERSON-REGISTER,,,,"Alcochete, Jácome Leäo Daupias, Baron (1813–1894)",portugisisk Kunstsamler.,,,1813–1894,,
P1050400,person,PERSON-REGISTER,,,,"Aldridge, Mrs.",g.m. Ira A.,,,,,
P1050600,person,PERSON-REGISTER,,,,"Aldridge, Ira (ca. 1805–67)",Amerikansk negerskuespiller.,,,1805–1867,,
P1050800,person,PERSON-REGISTER,,,,Alexander den Store (356–23 f.Chr.),makedonisk Konge.,,,-356–-323,,
P1051600,person,PERSON-REGISTER,,,,Alexander III (død 1181),Pave 1159.,,,1181,,
P1052000,person,PERSON-REGISTER,,,,Alexander VII (1599–1667),Pave 1655.,,,1599–1667,,
P1052200,person,PERSON-REGISTER,,,,"Alexis, Willibald (Pseud, f. Georg Wilh. Heinr. Häring) (1798–1871)",Tysk Forfatter.,,,1798–1871,,
P1053200,person,PERSON-REGISTER,,,,"Alfieri, Vittorio (1749–1803)",Italiensk Digter.,,,1749–1803,,
P1054000,person,PERSON-REGISTER,,,,Alfonso,Fiskerdreng fra Salerno.,,,,,
P1054400,person,PERSON-REGISTER,,,,"Algreen-Ussing, Frederik (1838–1869)","cand. jur. 1861, Assistent i Finansministeriet, 1864 Medstifter af Augustforeningen, historisk Forfatter.",,,1838–1869,,
P1055000,person,PERSON-REGISTER,,,,Ali Pasha (1741–1822),Pasha af Janina.,,,1741–1822,,
P1055200,person,PERSON-REGISTER,,,,"Ali, Muhamed Emin, Effendi, senere Pasha (1815–1871)","1840–41 Undersekretær i det tyrkiske Udenrigsministerium, 1841 Gesandt i London, senere Udenrigsminister og Storvezir.",,,1815–1871,,
P1055400,person,PERSON-REGISTER,,,,"Alizard, Adolphe-Joseph-Louis (1814–1850)",Fransk Operasanger.,,,1814–1850,,
P1055800,person,PERSON-REGISTER,,,,Alkibiades (ca. 450–404 f.Chr.),Atheniensisk Politiker og Feltherre.,,,-450–-404,,
P1056000,person,PERSON-REGISTER,,,,"Allen, C. F. (1811–1871)","Historiker, 1851 Docent, 1862 Professor ved Københavns Universitet.",,,1811–1871,,
P1056800,person,PERSON-REGISTER,,,,"Aller, Peter van (død 1885, 84 år gl.)",nederlandsk Konsul i Helsingør.,,,1885,,
P1057000,person,PERSON-REGISTER,,,,"Allin, Otto (1858–1934)","Trommevirtuos, senere Paukist i Det kgl. Kapel.",,,1858–1934,,
P1057200,person,PERSON-REGISTER,,,,"Allingham, William (1824–1889)",irsk Digter.,,,1824–1889,,
P1057400,person,PERSON-REGISTER,,,,"Allori, Christofano (1577–1621)",Italiensk Maler.,,,1577–1621,,
P1057800,person,PERSON-REGISTER,,,,"Almeida, Carlos Augusto de, Visconde, senere (1875) Conde de - (1845–?)","Søn af P. M. de A., Attaché ved det portugisiske Gesandtskab i Paris 1866.",,,1845,,
P1058800,person,PERSON-REGISTER,,,,"Almeida, Paulo Martins de, (d. 1874)","portugisisk Visconde, Lissabon og Cintra 1866.",,,1874,,
P1059800,person,PERSON-REGISTER,,,,"Almeida, Franzisca Sophie, Viscondessa, f. Grevinde Bayrstorff","Datter af Prins Karl af Bayern, g. 1845 m. P.M.d.A.",,,,,
P1060800,person,PERSON-REGISTER,,,,"Almlöf, Nils Vilhelm (1799–1875)",Skuespiller ved Det kgl. Teater i Stockholm.,,,1799–1875,,
P1061000,person,PERSON-REGISTER,,,,"Almqvist, G. J. L. (1793–1866)",Svensk Digter.,,,1793–1866,,
P1061400,person,PERSON-REGISTER,,,,"Alsing, Hans Frederik (1808–1871)","Møntkontrollør i Altona, senere Møntmester, Justitsraad.",,,1808–1871,,
P1062000,person,PERSON-REGISTER,,,,"Alsing, Wilhelm (1832–1892)","Søn af H.F.A., dansk Vicekonsul i Hamburg 1863–1892.",,,1832–1892,,
P1062200,person,PERSON-REGISTER,,,,"Altenhofer, August Joseph (1804–1878)","Tysk Journalist, Medarbejder (senere Redaktør) ved Allgemeine Zeitung i Augsburg.",,,1804–1878,,
P1062400,person,PERSON-REGISTER,,,,"Altmann, Julius (1814–1873)",Tysk Forfatter.,,,1814–1873,,
P1062800,person,PERSON-REGISTER,,,,"Amberg, H. C. (1837–1919)",Arkitekt.,,,1837–1919,,
P1063000,person,PERSON-REGISTER,,,,"Amberger, Anna Barbara, f. Esslinger",Enke efter Boghandler i Solingen Fr. Gerh. A.,,,,,
P1063200,person,PERSON-REGISTER,,,,"Amberger, Gustav Adolph (1831–1896)","Søn af Anna Barbara A., tysk Landskabsmaler.",,,1831–1896,,
P1066600,person,PERSON-REGISTER,,,,"Amberger, Hermann","Søn af Anna Barbara A., Boghandler i Basel.",,,,,
P1067200,person,PERSON-REGISTER,,,,"Ambrosi, Ferdinando (1846–1891)","Italiensk Operasanger, ved Stockholms-Operaen 1868–1872.",,,1846–1891,,
P1067400,person,PERSON-REGISTER,,,,"Amé, Georges (1831–1891)","Fransk Botaniker og Mykolog, ansat ved la Compagnie des Ghemins de fer du Midi, Bordeaux 1866.",,,1831–1891,,
P1068800,person,PERSON-REGISTER,,,,Amé’s Broder,Bordeaux 1866.,,,,,
P1069400,person,PERSON-REGISTER,,,,Amé’s Far (død 1867),Bordeaux 1866.,,,1867,,
P1070000,person,PERSON-REGISTER,,,,"Amherst, William Pitt, Jarl af – (1773–1857)",Besidder af Knole House.,,,1773–1857,,
P1070200,person,PERSON-REGISTER,,,,"Aminoff, Maria Cecilia Adelheid, f. Grevinde Sparre (1845–1909)",g. 1866 m. W.S.G.A.,,,1845–1909,,
P1070400,person,PERSON-REGISTER,,,,"Aminoff, Wilhelm Sixten Gregorius (1838–1875)","Svensk Legationssekretær i København 1871, Kammerherre.",,,1838–1875,,
P1071000,person,PERSON-REGISTER,,,,Amiot,Bordeaux 23.8.1866.,,,,,
P1071200,person,PERSON-REGISTER,,,,"Amorim, Gomes de (1827–1892)",portugisisk Skuespilforfatter.,,,1827–1892,,
P1071400,person,PERSON-REGISTER,,,,"Ampère, Jean Jacques (1800–1864)","Fransk Litteraturhistoriker, Professor ved Collège de France.",,,1800–1864,,
P1071800,person,PERSON-REGISTER,,,,Amundin,fra Vejle (tidligere Sømand) 26.4.1868.,,,,,
P1072000,person,PERSON-REGISTER,,,,"Anaïs, Pauline-Anaïs Aubert, kaldet - (1802–1871)",Fransk Skuespillerinde.,,,1802–1871,,
P1072200,person,PERSON-REGISTER,,,,"Ancelot, François (1794–1854)",Fransk Forfatter.,,,1794–1854,,
P1072400,person,PERSON-REGISTER,,,,"Ancelot, Virginie, f. Chardon (1792–1875)","Fransk Forfatterinde, g. 1818 m. Fr. A.",,,1792–1875,,
P1072800,person,PERSON-REGISTER,,,,Ancker (Anker?),Sorø 20.5.1850.,,,,,
P1073000,person,PERSON-REGISTER,,,,"Ancker, Anders (1801–1854)",Silke- og Klædehandler.,,,1801–1854,,
P1073200,person,PERSON-REGISTER,,,,"Andersdatter, Anne Marie (død 1833)","H.C. Andersens Moder, g. 1° 1805 m. Skomager Hans A., 2° 1818 m. Skomager Niels Jørgensen Gundersen, Enke 1822, Lem i Doctors Boder, Odense.",,,1833,,
P1076600,person,PERSON-REGISTER,,,,"Andersen, Frue",Axenstein 26.6.1873.,,,,,
P1076800,person,PERSON-REGISTER,,,,Andersen,"Fører af Postdampskibet Diana, Flensborg-Korsør.",,,,,
P1077400,person,PERSON-REGISTER,,,,"Andersen, Anna",Skuespillerinde ved Casino 1864.,,,,,
P1077600,person,PERSON-REGISTER,,,,"Andersen, Anna (1839–1899)","Operasangerinde ved Det kgl. Teater 1860–1879, g. 1871 m. Læge C. V. V. Levinsohn.",,,1839–1899,,
P1078200,person,PERSON-REGISTER,,,,"Andersen, Anna Marie Charlotte (1842–?)","Datter af Fiskerikontrollør, Kammerraad Bertel A., Thisted.",,,1842,,
P1079000,person,PERSON-REGISTER,,,,"Andersen, Birgitte, f. Olsen (1791–1875)","Skuespillerinde ved Det kgl. Teater, g. 1815 m. kgl. Kapelmusikus Caspar Heinrich Bernhard A.",,,1791–1875,,
P1079400,person,PERSON-REGISTER,,,,"Andersen, Carl (1828–1883)","Forfatter, Museumsassistent, 1866 2. Inspektør ved Rosenborgsamlingen, 1878 1. Inspektør og Slotsforvalter.",,,1828–1883,,
P1085800,person,PERSON-REGISTER,,,,"Andersen, Charlotte, f. Kraft (1822–1907)",g. 1846 m. S. C. A.,,,1822–1907,,
P1086000,person,PERSON-REGISTER,,,,"Andersen, Christian (1823–1901)","Manufakturhandler i Odense, Medstifter af Odense Musikforening 1866.",,,1823–1901,,
P1086200,person,PERSON-REGISTER,,,,"Andersen, Christian Nicolai (1788–1862)",Kirkesanger og Skolelærer i Svindinge.,,,1788–1862,,
P1086400,person,PERSON-REGISTER,,,,"Andersen, Christopher Petersen (1785–1853)",Adjunkt i Slagelse.,,,1785–1853,,
P1087200,person,PERSON-REGISTER,,,,"Andersen, Clara (1826–1895)","Datter af Birgitte A., Forfatterinde.",,,1826–1895,,
P1087800,person,PERSON-REGISTER,,,,"Andersen, Emil (1816–1867)",Vært i Postgaarden i Odense.,,,1816–1867,,
P1088200,person,PERSON-REGISTER,,,,"Andersen, Emilie (Mille)",Urban August Jürgensens Forlovede.,,,,,
P1088400,person,PERSON-REGISTER,,,,"Andersen, F. (1824–1899)",Grosserer (Firma: Brødrene Andersen).,,,1824–1899,,
P1088600,person,PERSON-REGISTER,,,,"Andersen, Hans (1782–1816)","Friskomager, H.C. Andersens Fader.",,,1782–1816,,
P1089600,person,PERSON-REGISTER,,,,"Andersen, Hans Christian","Fotograf, Nykøbing Mors, senere i Brønderslev.",,,,,
P1089800,person,PERSON-REGISTER,,,,"Andersen, Henriette (1818–1881)",Skuespillerinde ved Det kgl. Teater 1838–1881.,,,1818–1881,,
P1090600,person,PERSON-REGISTER,,,,"Andersen, Joachim (1847–1909)","Flautist, kgl. Kapelmusikus 1869–1878, senere Dirigent og Komponist.",,,1847–1909,,
P1090800,person,PERSON-REGISTER,,,,"Andersen, Jannik (1774–1854)","Apoteker i Odense (Løve-Apoteket), Kancelliraad, senere Justitsraad.",,,1774–1854,,
P1091000,person,PERSON-REGISTER,,,,"Andersen, Karen Marie (1799–1846)",H.C. Andersens Halvsøster.,,,1799–1846,,
P1091200,person,PERSON-REGISTER,,,,"Andersen, Marie",Tjenestepige hos Frøknerne Ballin 1874.,,,,,
P1091800,person,PERSON-REGISTER,,,,"Andersen, Marie (fra Svendborg)","Tjenestepige 1874–1875 hos Frøknerne Ballin, senere g. Busch.",,,,,
P1093200,person,PERSON-REGISTER,,,,"Andersen, Peter Fr. (1815–1899)","1855–65 Præst for den tyske lutherske Menighed i Genève, 1865–1892 Sognepræst i Grumtoft, Angel, Provst 1879.",,,1815–1899,,
P1093600,person,PERSON-REGISTER,,,,"Andersen, S. C. (1808–1899)","Bankier, dansk Generalkonsul i Christiania.",,,1808–1899,,
P1094400,person,PERSON-REGISTER,,,,"Andersen, Theodor (1835–1909)","Skuespiller ved Casino, 1869–1884 Direktør for Casino, 1884–1887 for Dagmarteatret.",,,1835–1909,,
P1097000,person,PERSON-REGISTER,,,,"Andersen, Thora Emilie Hansine, f. Grønbech (1834–1918)",g. 1860 m. Carl A.,,,1834–1918,,
P1098200,person,PERSON-REGISTER,,,,"Anderson, I. C.","Svensk Student fra Lund, København 2.11.1867.",,,,,
P1098400,person,PERSON-REGISTER,,,,"Anderssen, Adolf (1818–1879)","Tysk Skakspiller, Professor i Breslau.",,,1818–1879,,
P1098800,person,PERSON-REGISTER,,,,Andersson,"Fører af Dampskibet Wermeland, Gota Kanal 1849.",,,,,
