surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
danmark	kun_xlsx								Danmark	Berengaria (Bengerd), Dronning af –, f. Prinsesse af Portugal		1221	g. 1214 m. Valdemar II Sejr af D.
danmark	kun_xlsx								Danmark	Christian (X), Prins af –	1870	1947	Søn af Frederik (VIII) af D., Kronprins 1906, Konge 1912.
danmark	kun_xlsx								Danmark	Dagmar, Dronning af –, f. Prinsesse af Bøhmen		1212	g. 1205 m. Valdemar II Sejr af D.
danmark	kun_xlsx								Danmark	Louise, Prinsesse af –	1875	1906	Datter af Frederik VIII, g. 1896 m. Prins Friederich Georg af Schaumburg-Lippe.
danmark	kun_xlsx								Danmark	Valdemar, Konge af –			(ikke nærmere betegnet).
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01931	Danneskiold-Samsøe	Amalie (Amy), Komtesse	1843	1876	Datter af Chr. D.-S. (1800-86), g. 1865 m. Grev Christian Moltke-(Lystrup). VI 328 330. — Se ogsaa: Moltke, Amalie. Danneskiold-Samsøe, Christian Conrad Sophus, Greve (1800-86), Søn af Henriette D.-S., Overstaldmester hos Kong Christian VIII, Overskænk hos Kong Frederik VII, 1867 Gehejmekonferensraad, 1869 Lensgreve og Besidder af Grevskabet Samsø og Overdirektør for Gisselfeld adelige Kloster.	II:271;II:273;II:419;VI:329;VI:330;VII:256;VIII:48;VIII:173;VIII:347;VIII:353;VIII:355;VIII:360;VIII:361;IX:31;IX:35;IX:44;IX:66;IX:237;IX:291;IX:325	Danneskiold-Samsøe	Amalie (Amy), Komtesse	1843	1876	Datter af Chr. D.-S. (1800–1886), g. 1865 m. Grev Christian Moltke-(Lystrup).
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01932	Danneskiold-Samsøe	Christian Conrad Sophus, Greve	1836	1908	Søn af Sophus D.-S., Godsejer, 1869-76 Hofchef hos Kronprins Frederik (VIII), 1894 Chef for Det kgl. Teater.	V:338;V:391;VI:218;VII:70;VII:71;VII:74;VII:75;VII:81;VIII:69;VIII:111;VIII:254;VIII:355;VIII:445;IX:2;IX:212;IX:228;X:199	Danneskiold-Samsøe	Christian Conrad Sophus, Greve	1836	1908	Søn af Sophus D.-S., Godsejer, 1869–1876 Hofchef hos Kronprins Frederik (VIII), 1894 Chef for Det kgl. Teater.
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01933	Danneskiold-Samsøe	Christian Frederik, Greve	1838	1914	Søn af Chr. D.-S. (1800-86), Lensgreve og Besidder af Grevskabet Samsø samt Overdirektør for Gisselfeld Kloster 1886.	VIII:115;VIII:117;VIII:200;VIII:355	Danneskiold-Samsøe	Christian Frederik, Greve	1838	1914	Søn af Chr. D.-S. (1800–1886), Lensgreve og Besidder af Grevskabet Samsø samt Overdirektør for Gisselfeld Kloster 1886.
danneskiold-samsøe	kun_min	PerXI01934	Danneskiold-Samsøe	Elisabeth, Grevinde, f. Brudenell-Bruce	1807	1847	g. 1833 m. Christian Conrad Sophus D.-S.	II:270;II:271					
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01935	Danneskiold-Samsøe	Elisabeth, Komtesse	1866	1950	Datter af Chr. D.-S. (1836-1908), g. 1887 m. senere Udenrigsminister Grev William Ahlefeldt- Laurvig.	X:194;X:429	Danneskiold-Samsøe	Elisabeth, Komtesse	1866	1950	Datter af Chr. D.-S. (1836–1908), g. 1887 m. senere Udenrigsminister Grev William Ahlefeldt-Laurvig.
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01936	Danneskiold-Samsøe	Elisabeth, Komtesse	1869	1948	Datter af Chr. D-S. (1838-1914), g. 1896 m. Grev Aage Moltke-(Lystrup), senere Dekanesse for Vallø Stift.	VIII:231;VIII:356	Danneskiold-Samsøe	Elisabeth, Komtesse	1869	1948	Datter af Chr. D-S. (1838–1914), g. 1896 m. Grev Aage Moltke- (Lystrup), senere Dekanesse for Vallø Stift.
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01940	Danneskiold-Samsøe	Frederikke (Fritze), Komtesse	1865	1949	Datter af Chr. D.-S. (1836-1908), g. 1884 m. Mogens Krag-Juel-Vind-Frijs.	IX:2;X:429	Danneskiold-Samsøe	Frederikke (Fritze), Komtesse	1865	1949	Datter af Chr. D.-S. (1836–1908), g. 1884 m. Mogens Krag-Juel-Vind-Frijs.
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01942	Danneskiold-Samsøe	Henriette, Grevinde, f. Komtesse Krag-Juel-Vind- Frijs	1848	1897	Datter af C. E. Krag- Juel-Vind-Frijs, g. 1867 m. senere Lensgreve Christian D.-S. (1838- 1914). VIII 31 114-15 200 231 356. — Se ogsaa: Frijs, Henriette Krag-Juel- Vind-. Danneskiold-Samsøe, Louise, Grevinde, f. von Zytphen (1818-1903), Datter af Louise Augusta von Z., g. 1850 m. Christian D.-S. (1800-86). VI 329-30. VII 250. VIII 48 347 361. IX 66 246. — Se ogsaa: Zytphen, Louise. Danneskiold-Samsøe, Otto, Greve (1841- 96), Søn af Sophus D.-S., Sekondløjtnant, 1867 Premierløjtnant, Hofjægermester.	VII:365	Danneskiold-Samsøe	Henriette, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs	1848	1897	Datter af C. E. Krag-Juel-Vind-Frijs, g. 1867 m. senere Lensgreve Christian D.-S. (1838–1914).
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01944	Danneskiold-Samsøe	Valdemar, Greve	1864	1931	Søn af Chr. D.-S. (1836- 1908), senere Premierløjtnant i Søetaten.	X:429	Danneskiold-Samsøe	Valdemar, Greve	1864	1931	Søn af Chr. D.-S. (1836–1908), senere Premierløjtnant i Søetaten.
danneskiold-samsøe	matchet_person_men_beskrivelse_afviger	PerXI01945	Danneskiold-Samsøe	Wanda, Grevinde, f. Zahrtmann	1842	1916	Datter af C. C. Zahrtmann, g. 1863 m. Christian D.-S. (1836-1908). V 391. VI 119 218 337. VIII 69 111. IX 2 212-15 228 360-61 366. X 43 192 194 429. — Se ogsaa: Zahrtmann, Wanda. Dante Alighieri (1265-1321), italiensk Digter.	I:207;I:240;I:293;I:306;I:384;I:388;I:394;I:433;I:434;I:457;II:65;II:79;V:66	Danneskiold-Samsøe	Wanda, Grevinde, f. Zahrtmann	1842	1916	Datter af C. G. Zahrtmann, g. 1863 m. Christian D.-S. (1836–1908).
danneskiold-samsøe	kun_xlsx								Danneskiold-Samsøe	Christian Conrad Sophus, Greve	1800	1886	Søn af Henriette D.-S., Overstaldmester hos Kong Christian VIII, Overskænk hos Kong Frederik VII, 1867 Gehejmekonferensraad, 1869 Lensgreve og Besidder af Grevskabet Samsø og Overdirektør for Gisselfeld adelige Kloster.
danneskiold-samsøe	kun_xlsx								Danneskiold-Samsøe	Louise, Grevinde, f. von Zytphen	1818	1903	Datter af Louise Augusta von Z., g. 1850 m. Christian D.-S. (1800–1886).
danneskiold-samsøe	kun_xlsx								Danneskiold-Samsøe	Otto, Greve	1841	1896	Søn af Sophus D.-S., Sekondløjtnant, 1867 Premierløjtnant, Hofjægermester.
dauzats	kun_min	PerXI01961	Dauzats	Adrien	1804	1868	fransk Maler. III 148-50. d'Avezac, A. G. V. (1780-1851), amerikansk Gesandt i Haag.	III:199					
david d'angers	kun_min	PerXI01980	David d'Angers	P. J.	1788	1856	fransk Billedhugger.	II:352;II:353;II:358;II:360;III:142;VII:342;VIII:301					
de geer af finspang	kun_min	PerXI02001	De Geer af Finspång	Ebba, Friherreinde	1828	1885	g. 1850 m. Hans Wachtmeister.	III:305;III:306					
dentu	kun_min	PerXI02030	Dentu	E.	1830	1884	fransk Forlagsboghandler.	V:373;V:374					
dittmarsch	kun_min	PerXI02083	Dittmarsch	Carl	1790	1872	Overregissør ved Hofteatret i Dresden, tidligere Skuespiller.	IV:228;IV:229					
dorscheus	kun_min	PerXI02122	Dorscheus	Chr. Fr. Sophus	1813	1868	Major, Postmester i Kalundborg.	V:179;V:180					
dreves	kun_min	PerXI02136	Dreves	Leberecht	1818	1870	tysk lyrisk Digter, Advokat i Hamburg, Notar sst. 1847-61.	III:13;III:14					
due	kun_min	PerXI02187	Due	Frederik	1796	1873	norsk Statsminister i Stockholm 1841, svensknorsk Gesandt i Wien 1858-71.	III:88;III:89;III:90;III:92;III:311;III:312;III:314;III:324;III:325;VII:251;VIII:285;VIII:286;IX:198;IX:220;IX:221;IX:224;IX:226					
due	matchet_person_men_beskrivelse_afviger	PerXI02188	Due	Frederik Georg Knut	1833	1906	Søn af Frederik D., svensk-norsk Chargé d'affaires i Paris 1861-69, senere Gesandt, sidst i Paris.	V:370	Due	Frederik Georg Knut	1833	1906	Søn af Frederik D., svensk-norsk Chargé d’affaires i Paris 1861–1869, senere Gesandt, sidst i Paris.
dulcken	matchet_person_men_beskrivelse_afviger	PerXI02191	Dulcken	H. W.	1832	1894	dr.phil., engelsk Litterat, Oversætter af H.C.A.s Eventyr.	VII:243	Dulcken	H. W.	1832	1894	dr.phil., engelsk Litterat, Oversætter af H.C. Andersens Eventyr.
dulcken	kun_min	PerXI02192	Dulcken	Luise van, f. David	1811	1850	Søster til Ferd. David, Hofpianistinde hos Dronning Victoria af Storbritannien og Irland.	III:177;III:178					
ebert	kun_min	PerXI02242	Ebert	Friedrich Adolf	1791	1834	Overbibliotekar ved det kgl. Bibliotek i Dresden.	I:95;I:96					
eckhoff	kun_min	PerXI02257	Eckhoff	Christian	1837	1899	Søn af J.W.E., Officer i østrigsk Tjeneste.	II:304;II:305					
eckhoff	kun_min	PerXI02259	Eckhoff	Magdalene (Lehnchen)	1834	1913	Datter af J.W.E.	II:304;II:305					
egidius	kun_min	PerXI02274	Egidius	Frøknerne Hildur	1835	1892	Inga (1841-1919) og Iduna (1844- 1925), Døtre af norsk Konsul Th. Egidius, Amsterdam.	VII:47					
egidius	kun_xlsx								Egidius	Frøknerne			Hildur (1835–1892), Inga (1841–1919) og Iduna (1844–1925), Døtre af norsk Konsul Th. Egidius, Amsterdam.
ejbye	kun_min	PerXI02304	Ejbye	Abelone, f. Hansdatter	1803	1870	Enke efter Brændevinsbrænder Poul E., Nyborg, søger 1847 Aktionærer til sit planlagte Garveri (»Hjertesorg«).	III:185;III:186					
enholm	kun_min	PerXI02343	Enholm	Lorentz Peter (død 1841), Skuespiller ved Det kgl. Teater. I 133 456. Épée, Charles-Michel, Abbé de 1'	1712	1789	Grundlæggeren af den skolemæssige Døvstummeundervisning.	II:341					
enholm	kun_xlsx								Enholm	Lorentz Peter		1841	Skuespiller ved Det kgl. Teater.
esbensen	matchet_person_men_beskrivelse_afviger	PerXI02359	Esbensen	Andreas	1803	1856	Læge i Odense, Distriktslæge 1848, Broder til Amtmand F.A.E.	IV:351	Esbensen	Andreas	1803	1856	Læge i Odense. Distriktslæge 1848, Broder til Amtmand F.A.E.
esbensen	kun_min	PerXI02360	Esbensen	Anna Marie Karine	1843		Datter af Andreas E.	IV:351					
esbensen	matchet_person_men_beskrivelse_afviger	PerXI02362	Esbensen				Betty Sophie, Datter af J.R.E.	IV:33	Esbensen	Betty Sophie			Datter af J.R.E.
esbensen	kun_min	PerXI02364	Esbensen	Frederik August	1802	1872	Amtmand i Hjørring 1850-67, Konferensraad 1867.	IV:351;IV:352					
esbensen	matchet_person_men_beskrivelse_afviger	PerXI02366	Esbensen	Johan Riber	1798	1885	Sognepræst i Langaa, Fyn 1835, i Flemløse 1845-83.	II:288;IV:33	Esbensen	Johan Riber	1798	1885	Sognepræst i Langaa, Fyn 1835, i Flemløse 1845–1883.
esbensen	matchet_person_men_beskrivelse_afviger	PerXI02367	Esbensen				Marie Cathrine Lucie, Datter af J.R.E. IV 33. l'Escaille, Sidonie Constance Henriette de, Prinsesserne Dagmars og Thyras Guvernante.	VII:189;VIII:64;VIII:65	Esbensen	Marie Cathrine Lucie			Datter af J.R.E.
esbensen	kun_xlsx								Esbensen	Anna Marie Karine	1843		Datter af Andreas E.
eyckholt	kun_min	PerXI02397	Eyckholt				Fader til Fru Lowener, Gent 8.9.5.1868.	VIII:64;VIII:65					
eyckholt	kun_min	PerXI02398	Eyckholt	Frue, Moder til Fru Lowener, Gent 8.5.1868. VIII 64. F. Faaborg, Christian	1811	1857	Operasanger ved Det kgl. Teater 1835-50, 1851 Klasselotterikollektør i København, 1855 Kammerassessor.	IV:414					
eyckholt	kun_xlsx								Eyckholt	Frue			Moder til Fru Löwener, Gent 8.5.1868.
faber	kun_min	PerXI02403	Faber	Ludvig	1798	1876	fhv. Ritmester, Postmester i Frederikshavn.	IV:353;IV:354					
facius	kun_min	PerXI02421	Facius	Angelica	1806	1887	Billedhuggerinde, Weimar.	III:48;III:49					
facius	kun_min	PerXI02422	Facius	Bertha	1809	1873	Søster til Angelica F., Weimar.	III:48;III:49					
fahræus	kun_min	PerXI02401	Fåhræus	Olof Immanuel	1796	1884	Tvillingbroder til J.F.F., Landshøvding i Goteborg, Politiker, Entomolog.	III:298;III:299					
falbe	kun_min	PerXI02427	Falbe	Christian Frederik	1828	1896	Søn af Chr. T. F., Ministerresident i Wien 1865, derefter Gesandt, 1880-90 Gesandt i London, Kammerherre 1866.	VIII:275;VIII:276;VIII:277;VIII:278;VIII:279;VIII:280;VIII:284;VIII:285;IX:266;IX:267;IX:268;IX:269					
falbe	matchet_person_men_beskrivelse_afviger	PerXI02428	Falbe	Christian Tuxen	1791	1849	kar. Kaptajn i Søetaten, Generalkrigskommissær, 1841 kar. Kommandørkaptajn, 1846 Kammerherre, 1847 Direktør for Christian VIII.s arkæologiske Samling paa Amalienborg, Arkæolog og Numismatiker.	II:42	Falbe	Christian Tuxen	1791	1849	kar. Kaptajn i Søetaten, Generalkrigskommissær, 1841 kar. Kommandørkaptajn, 1846 Kammerherre, 1847 Direktør for Christian VIII's arkæologiske Samling på Amalienborg, Arkæolog og Numismatiker.
falbe	matchet_person_men_beskrivelse_afviger	PerXI02436	Falbe				Wilhelmine (Mine) Ulrikke (1782 1858), Søster til Engelke Colbiørnsen.	I:32;I:37	Falbe	Wilhelmine (Mine) Ulrikke			Søster til Engelke Colbiørnsen.
falkenskiold	kun_min	PerXI02443	Falkenskiold	Martha Nicoline, f. Holtermann	1818	1883	g. 1842 m. J.A.F. F.	VI:41;VI:42					
fibiger	matchet_person_men_beskrivelse_afviger	PerXI02515	Fibiger	Johannes	1821	1897	residerende Kapellan ved Garnisons Kirke, 1874 Sognepræst i Vallensved, 1881-95 i Ønslev og Eskilstrup, Digter.	V:167;VI:167;VII:13	Fibiger	Johannes	1821	1897	residerende Kapellan ved Garnisons Kirke, 1874 Sognepræst i Vallensved, 1881–1895 i Ønslev og Eskilstrup, Digter.
fibiger	kun_min	PerXI02516	Fibiger	Laura	1845	1912	eller Margrethe (1846-1927), Døtre af Axel F.	VI:247					
fibiger	kun_xlsx								Fibiger	Laura (1845–1912) eller Margrethe	1846	1927	Døtre af Axel F.
fiedler	kun_min	PerXI02521	Fiedler	Frederik Julius	1806	1880	cand. jur., Volontør i Danske Kancelli, 1837 Kancellist, 1843 Assessor i Landsoversamt Hof og Stadsretten, 1860 Justitiarius sst.; 1854 Justitsraad, 1859 Etatsraad, 1868 Konferensraad.	I:506;I:507					
fiesole	kun_min	PerXI02525	Fiesole	Giovanni da	1387	1455	italiensk Maler.	I:230;I:245;II:114					
finck	kun_min	PerXI02528	Finck	Friedrich August von	1718	1766	preussisk Generalløjtnant, efter Kapitulationen ved Maxen 1759 og Krigsfangenskab idømt Kassation 1763, s.A. dansk General af Infanteriet og Deputeret 1765 i General-Krigs-Direktorariet.	IV:62;IV:63					
finsen	matchet_person_men_beskrivelse_afviger	PerXI02533	Finsen	Hilmar	1824	1886	Stiftamtmand (Landshøvding) paa Island 1865, Overpræsident i København 1883, Indenrigsminister 1883-85, derpaa igen Overpræsident.	VIII:197	Finsen	Hilmar	1824	1886	Stiftamtmand (Landshøvding) på Island 1865, Overpræsident i København 1883, Indenrigsminister 1883–1885, derpaa igen Overpræsident.
finsen	kun_min	PerXI02534	Finsen	Oluf	1825	1896	exam. jur., 1848 Godsforvalter paa Nysø, 1853 paa Giesegaard, 1865 Stiftsforvalter paa Vallø, 1874 Justitsraad, 1885 Etatsraad.	VI:341;VI:342					
firmenich	kun_min	PerXI02536	Firmenich	Broder til Johann Mathias F. IV 178. Firmenich (Richartz), Johann Mathias	1808	1889	tysk Forfatter og Oversætter, Professor 1860.	I:419;I:421;I:422;I:430;I:438;I:439;IV:178					
firmenich	kun_xlsx								Firmenich				Broder til Johann Mathias F.
fisker	kun_min	PerXI02545	Fisker	Frederikke Wilhelmine Pauline, f. Govl	1830	1905	Enke efter Læge Lorentz Henrik F.	VI:256;VI:257					
fisker	kun_min	PerXI02546	Fisker	Julie	1854	1937	Datter af Frederikke Wilhelmine Pauline F., g. 1876 m. Vicedirektør i Forsikringsselskabet Skandia N. V. Th. Stedt.	VI:256;VI:257					
flemming	kun_min	PerXI02556	Flemming	Armgard, Grevinde, f. von Arnim	1821	1880	Datter af Ludwig Achim von Arnim, g. 1860 m. Grev Albert F.	VII:354					
fock	kun_min	PerXI02572	Fock	Hedvig Charlotta Catharina, Friherreinde, f. Grevinde von Saltza	1805	1875	Datter af Edvard Fredrik von Saltza, Enke efter Kammerherre, Friherre Henrik Vilhelm F.	III:344;III:345;III:346;III:348;III:349					
franzos	kun_min	PerXI02644	Franzos	Angelo, italiensk Billedhugger. I 199. Frauenlob (Heinrich von Meissen)	1260	1318	tysk Mestersanger.	II:368;III:166					
franzos	kun_xlsx								Franzos	Angelo			Italiensk Billedhugger.
frohlich	kun_min	PerXI02750	Fröhlich				Bankier i München.	IV:444;V:103					
frohlich	kun_min	PerXI02751	Fröhlich	J. F.	1806	1860	Komponist.	I:96;I:97;I:98;I:101;I:102;I:103;I:104					
frohlich	kun_xlsx								Fröhlich				Bankier i München.
from	kun_min	PerXI02732	From	Christian	1818	1890	fhv. Købmand, Kommissær og Fæstemand i Odense.	VIII:256;VIII:257;VIII:258					
furstenau	kun_min	PerXI02776	Furstenau	Anton Bernhard	1792	1852	Fløjtenist ved Hofkapellet i Dresden, Kammervirtuos, Komponist.	I:500;I:501					
gayl	kun_min	PerXI02859	Gayl	Anna von, Friherreinde, f. Hollmann	1796	1857	g. 1819 m. Generalløjtnant, storhertugelig oldenburgsk Kammerherre Ludwig Dietrich v. G.	III:179;III:180					
gerhard	kun_min	PerXI02896	Gerhard	Gert	1292	1340	holstensk Greve, Hertug af Sønderjylland.	IV:359					
gerlach	matchet_person_men_beskrivelse_afviger	PerXI02898	Gerlach	C. L.	1833	1893	Syngemester ved Det kgl. Teater 1863-88, Komponist.	VIII:364	Gerlach	G. L.	1833	1893	Syngemester ved Det kgl. Teater 1863–1888, Komponist.
gerlach	kun_min	PerXI02899	Gerlach	Leocadie, f. Bergnehr	1826	1919	Operasangerinde ved Det kgl. Teater, g. 1° 1852 m. Lysestøber Carl Edvard Fossum, 2° 1861 m. Syngemester Carl Ludvig G. V 165. VI 182. VII 378. VIII 34. IX 39-40 45. X 339. — Se ogsaa: Bergnehr, Leocadie, og Fossum, Leocadie. Germar, Frk., se: Villers, Helene.	IV:62					
gervinus	kun_min	PerXI02907	Gervinus	Georg Gottfried	1803	1871	tysk Historiker og Litteraturhistoriker, fra 1844 Professor i Heidelberg.	II:365;II:366					
gervinus	kun_min	PerXI02908	Gervinus	Victoria, f. Schelver	1817	1893	g. 1836 m. Georg Gottfried G.	II:365;II:366					
girard	kun_min	PerXI02932	Girard	Jules-Frédéric Othenin-	1807	1883	Sognepræst i Les Brenets.	IV:410;IV:411					
glahn	kun_min	PerXI02949	Glahn	Hans Egede	1814	1898	Stiftsprovst i Aalborg Stift og Sognepræst ved Budolphi Kirke 1859, Sognepræst i Store Hedinge 1871.	VIII:386;VIII:387					
gleichen-russwurm	kun_min	PerXI02955	Gleichen-Russwurm	Ludwig von, Friherre	1836	1901	. Dattersøn af Fr. v. Schiller.	IV:285;IV:286					
glinka	kun_min	PerXI02957	Glinka	Michael Ivanovitj	1804	1857	russisk Komponist.	VIII:243;VIII:246					
gnecco	kun_min	PerXI02975	Gnecco	Francesco	1760	1810	italiensk Operakomponist.	I:349;I:350					
good	kun_min	PerXI02999	Good	William	1819	1879	dansk Købmand i Antwerpen.	VII:63;VII:64;VII:65;VII:66					
govl	kun_min	PerXI03018	Govl				Doris, f. Risler (død 1874), Enke efter Ritmester Carl Fr. G., Præstø.	V:388;VI:256					
govl	kun_min	PerXI03019	Govl	Povline	1834	1882	Datter af Doris G., Lærerinde ved N. Zahles Skole 1866, Forstanderinde sst. 1870.	V:388;VI:256					
grant	kun_min	PerXI03036	Grant	Ulysses S.	1822	1885	amerikansk General, De Forenede Staters Præsident 1869-77.	X:316;X:317					
gregoire	kun_min	PerXI03048	Grégoire	Ernest, fransk Journalist, Oversætter af HCA.s Eventyr. Deltager i det franske Journalistbesøg i København August 1867. VII 343 347 349- 51. X 54-55 61 64 72 159 160 161 168-69 189 201 202 224 470. Gregor VII (død 1085), Pave 1073. I 339. Gregor XIV	1535	1591	Pave 1590. I 276. Gregor XVI (1765-1846), Pave 1831.	I:218;I:225;I:242;I:260;I:261;I:266;I:274;I:281;I:285;I:294;I:302;I:303;I:305;I:368;I:369;I:372;I:374;I:402;II:93;II:106;II:111;II:120;II:121;II:126;II:129;II:231;III:88;III:89;III:91;III:108;III:123					
gregoire	kun_xlsx								Grégoire	Ernest			Fransk Journalist, Oversætter af H.C. Andersens Eventyr. Deltager i det franske Journalistbesøg i København August 1867.
gude	kun_min	PerXI03120	Gude	Betsy, f. Anker	1830	1912	g. 1850 m. H.F.G.	IX:298;IX:299					
gutfeld	kun_min	PerXI03150	Gutfeld	Caroline Frederikke, f. Bigum	1766	1848	g. 1790 m. F.C.G.	I:39;I:40					
gyllenram	kun_min	PerXI03168	Gyllenram	Mauritz	1840	1926	svensk Løjtnant, 1868-69 i fransk Tjeneste i Algier, Kaptajn 1878, Afsked 1906, Godsejer.	VIII:322;VIII:323					
haffner	matchet_person_men_beskrivelse_afviger	PerXI03205	Haffner				Familien.	III:58	Haffner	Familien			
haffner	kun_min	PerXI03206	Haffner	General (enten Generalmajor Wenzel H.	1774	1844	eller Generalløjtnant Wolfgang H. (1770-1829)).	VI:120					
haffner	matchet_person_men_beskrivelse_afviger	PerXI03211	Haffner	Wolfgang	1810	1887	Broder til Waldemar H., Besidder af Egholm, Ritmester, 1869 kar. Oberst, 1871 kar. Generalløjtnant, Landstingsmand, 1869 Indenrigsminister, Krigs- og Marineminister 1870-72 og 1875-77, Kammerherre 1847.	IV:136;VI:233;VI:236;VI:241;VII:215;VIII:115;VIII:117;VIII:119;VIII:343;VIII:344;IX:33;IX:46;IX:252;IX:364;X:279	Haffner	Wolfgang	1810	1887	Broder til Waldemar H., Besidder af Egholm, Ritmester, 1869 kar. Oberst, 1871 kar. Generalløjtnant, Landstingsmand, 1869 Indenrigsminister, Krigs- og Marineminister 1870–1872 og 1875–1877, Kammerherre 1847.
haffner	kun_xlsx								Haffner				General (enten Generalmajor Wenzel H. (1774–1844) eller Generalløjtnant Wolfgang H. (1770–1829)).
hage	kun_min	PerXI03215	Hage	Christopher	1841	1864	Søn af Alfred H., Reserveofficersaspirant.	VI:44;VI:45;VI:46					
hage	matchet_person_men_beskrivelse_afviger	PerXI03219	Hage				Maria Sophia, Trollhåttan 1805.	III:380	Hage	Maria Sophia			Trollhättan 1805.
hage	matchet_person_men_beskrivelse_afviger	PerXI03220	Hage				V., Trollhåttan 1805.	III:380	Hage	V.			Trollhättan 1805.
hagen	matchet_person_men_beskrivelse_afviger	PerXI03223	Hagen	Amalie, f. Price	1831	1892	Skuespillerinde ved Casino, g. 1862 m. Korpslæge i Søetaten Chr. August H. VI 14 18 25 26 118. IX 49. — Se ogsaa: Price, Amalie. Hagen, Boline (1847-?), Datter af Carl H., Skuespillerinde ved Det kgl. Teater 1874-76.	X:418	Hagen	Amalie, f. Price	1831	1892	Skuespillerinde ved Casino, g. 1862 m. Korpslæge i Søetaten Chr. August H.
hagen	kun_min	PerXI03226	Hagen	Frederik August	1796	1872	Broder til Frants H., exam. jur. 1814, Partikulier, bosiddende 1834 i Berlin.	I:68;I:69					
hagen	kun_min	PerXI03227	Hagen				Joris van der (eller Verhagen) (1615(?)-69), hollandsk Maler.	II:314					
hagen	kun_xlsx								Hagen	Boline	1847		Datter af Carl H., Skuespillerinde ved Det kgl. Teater 1874–1876.
hagen	kun_xlsx								Hagen	Joris van der (eller Verhagen) (1615(?)-69)	1615	1669	Hollandsk Maler.
halkier	kun_min	PerXI03245	Halkier	Laurits	1841	1930	Direktør for Alhambra 1868, cand. theol. s. A., senere Sognepræst paa Norderø og derefter paa Øland, Aalborg St., Afsked 1888.	VIII:145;VIII:146					
halm	kun_min	PerXI03254	Halm	Friedrich (Pseud. f. Eligius Franz Joseph von Munch-Bellinghausen)	1806	1871	østrigsk Skuespilforfatter, se: Munch-Bellinghausen, E. F. J. von. Hamann, Caroline, f. Lindberg (død 1898, 81 Aar gl.), g.m. P. H. H.	VIII:103					
hamilton	kun_min	PerXI03262	Hamilton				Mrs., Loch Lomond 21.8.1847.	III:257;III:258					
hamilton	kun_min	PerXI03263	Hamilton				Mrs., Marseille 29.11.1869.	VIII:301;VIII:302					
hamilton	matchet_person_men_beskrivelse_afviger	PerXI03266	Hamilton	Agnes, Grevinde, f. Geijer	1824	1885	Datter af E.G.Geijer, g. 1847 m. Adolf H. (1820-96).	III:367;III:369;III:370;III:371;VI:292;VI:293;VI:294;VIII:153;VIII:154	Hamilton	Agnes, Grevinde, f. Geijer	1824	1885	Datter af E.G.Geijer, g. 1847 m. Adolf H. (1820–1896).
hamilton	matchet_person_men_beskrivelse_afviger	PerXI03267	Hamilton				Andrew, skotsk Forfatter, opholdt sig i Danmark 1849-50.	III:410;III:414;V:423;V:437;V:439;VI:17;VI:29;VI:38	Hamilton	Andrew			skotsk Forfatter, opholdt sig i Danmark 1849–1850.
hamilton	matchet_person_men_beskrivelse_afviger	PerXI03268	Hamilton	Anna, Grevinde	1848	1913	Datter af Adolf H. (1820-96), g. 1876 m. Lægen Gustaf Vilhelm Geete, Forfatterinde.	III:369;III:371;VI:294	Hamilton	Anna, Grevinde	1848	1913	Datter af Adolf H. (1820–1896), g. 1876 m. Lægen Gustaf Vilhelm Geete, Forfatterinde.
hamilton	kun_min	PerXI03272	Hamilton	James, Viscount	1811	1885	Marquess of Abercorn.	III:220;III:221					
hamilton	kun_min	PerXI03275	Hamilton	Malkolm, Greve	1825	1903	Søn af Hugo H., Underløjtnant ved Vestgöta Regiment, deltog i det svenske Troppekontingent paa Fyn 1848, senere Generalløjtnant.	III:367;III:368					
hammer	kun_min	PerXI03279	Hammer				Smedemester i Helsingør.	II:273					
hammer	matchet_person_men_beskrivelse_afviger	PerXI03281	Hammer	O. C.	1822	1892	Kaptajnløjtnant i Søetaten, 1889 kar. Kaptajn, 1865-71 Leder af »Det danske Fiskeriselskab« (Hval- og Robbefangst i det nordlige Ishav), 1882 Savværksejer i Jemtland.	VII:243;VII:248;VIII:26;VIII:130	Hammer	O. C.	1822	1892	Kaptajnløjtnant i Søetaten, 1889 kar. Kaptajn, 1865–1871 Leder af »Det danske Fiskeriselskab« (Hval- og Robbefangst i det nordlige Ishav), 1882 Savværksejer i Jemtland.
hammer	kun_min	PerXI03282	Hammer	William	1821	1889	Blomstermaler.	IX:32;IX:33					
hammer	kun_xlsx								Hammer				Smedemester i Helsingør.
