kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI02722	Frauenlob (Heinrich von Meissen)	Frauenlob (Heinrich von Meissen) (ca. 1260–1318)	Tysk Mestersanger.	II:368;III:166
name_differs	PerXI02745	Frémont	Frémont, Miss	Datter af General J.C.F.	VIII:237;VIII:245
name_differs	PerXI02834	Frølich, Edma	Frølich, Edina (1859–1958)	Datter af Lorenz F., Malerinde, g. 1896 m. Sognepræst N.C.Stage, Kullerup.	VII:81;VII:268;VII:276
name_differs	PerXI02876	Gad, P. C. Stenersen	Gad, P. G. Stenersen (1797–1851)	Biskop over Fyns Stift 1848–1851.	III:403;III:423
name_differs	PerXI03041	Glinka, Michael Ivanovitj	Giinka, Michael Ivanovitj (1804–1857)	russisk Komponist.	VIII:243;VIII:246
name_differs	PerXI03044	Gluck, Christoph Willibald, Ritter von	Gluck, Ghristoph Willibald, Ritter von (1714–1787)	Tysk Komponist.	III:64;IV:388;V:102;VII:19;VIII:416;VIII:429;IX:211;X:247
name_differs	PerXI03091	Gotschalk, Friederich (Fritz)	Gotschalk, Friederich (Fritz) (1788–1869)	Grosserer, Generalkonsul.	V:135;VI:22
name_differs	PerXI03172	Groth, Magdalene (Magda)	Groth, Magdalene (Magda) (1856–1928)	Datter af Kaptajnløjtnant E.P.C.M.G., g. 1874 m. Kateket ved Vor Frelsers Kirke, senere Biskop Fredrik Nielsen.	V:187;VI:165;X:182
name_differs	PerXI03190	Grün, Anastasius (Pseud. for Grev A. A. Auersperg)	Grün, Anastasius (Pseud. for Grev A. A. Auersperg) (1806–1876)	Østrigsk Digter og Politiker.	II:335;III:75
name_differs	PerXI03194	Grützmacher, Friedrich	Grützmacher, F riedrioh (1832–1903)	Tysk Violoncellist og Komponist.	VIII:125;IX:262
name_differs	PerXI03243	Gutzkow, Bertha, f. Meldinger	Gutzkow, Bertha, f. Meidinger (1829–1909)	g. 1849 m. Karl G.	IV:160;IV:219
name_differs	PerXI03421	Hansen, C. F.	Hansen, G. F. (1788–1873)	Generalløjtnant, Krigsminister 1848–1851, 1852–1854 og 1864–1865.	IV:40;VI:85
name_differs	PerXI03475	Hansen, Poul (Hanssøn, Povel)	Hansen, Poul (Hanssøn, Povel) (død 1617)	Raadmand i Skelskør.	VI:172;VIII:378
name_differs	PerXI05789	Meyer, Adolph	Hansteen, Frk.	redder et Barn fra at drukne September 1872 (muligvis = Asta Hansteen (1824–1908), norsk Malerinde og Kvindesagskvinde).	IX:330;IX:333
name_differs	PerXI03600	Healey	Healey, Christine Mary	Søster til Agnes H., Danserinde ved Det kgl. Teater 1864–1865.	VI:129;VI:185
name_differs	PerXI03653	Hein, Victorin (Victor)	Hein, Victorin (Victor) (1825–1860)	Privatsekretær på Nørre-Vosborg hos A.E.M.Tang.	IV:340;IV:345
name_differs	PerXI03679	Hellesen, Johanne (Hanne)	Hellesen, Johanne (Hanne) (1801–1844)	Blomstermalerinde.	I:500;I:502
name_differs	PerXI03718	Henrichsen, Frøken, Datter af R.J.F.H. (enten Emma	Henrichsen, Frøken	Datter af R.J.F.H. (enten Emma (1836–1913) eller Jakobine (1838–1875)).	VIII:54;VIII:96
name_differs	PerXI03729	Henriques	Henriques’ Broder og Broderens Kone	(hvem H.C. Andersen mener, kan ikke afgøres), Paris 1868, Rolighed 1871 og 1872.	VIII:67;IX:152;IX:330
name_differs	PerXI03749	Hensel, Fanny, f. Mendelssohn-Bartholdy Stamtavle Henriques s. XLIV	Hensel, Fanny, f. Mendelssohn-Bartholdy (1805–1847)	Søster til Felix Mendelssohn-Bartholdy, Pianistinde og Komponist, g. 1829 m. Wilhelm H.	III:199;III:202
name_differs	PerXI03851	Hillerup, F. C.	Hillerup, F. G. (1793–1861)	Forfatter og Oversætter.	II:41;II:129
name_differs	PerXI03900	Hofman-Bang, Jacob Aall	Hofman-(Bang), N. (1776–1855)	Besidder af Hofmansgave, Botaniker og Agronom, Etatsraad 1852.	II:294;III:1;VI:251
name_differs	PerXI03902	Hofman-Bang, Niels Erik	Hof præsten i Dresden	(luthersk).	IV:52;IV:60
name_differs	PerXI03912	Holbech, C. F.	Holbech, G. F. (1811–1880)	Billedhugger.	II:59;II:130;II:131;III:88
name_differs	PerXI04010	Holstein, Mimi, Lensgrevinde, f. Zahrtmann	Holstein, Ulrik Adolph, Greve (1851–1883)	Søn af Ludvig Holstein-Holsteinborg.	IV:202;IV:204;IV:466;V:139;V:140;V:141;VI:342;VI:345;VII:227;VII:330;VIII:190;VIII:227;VIII:261;VIII:391;IX:249;X:257;X:259;X:353
name_differs	PerXI04017	Holsten, F. C., Baron	Holsten, F. G., Baron (1804–1885)	Stiftamtmand over Lolland-Falsters Stift, Kammerherre, 1885 Gehejmekonferensraad.	III:424;III:427
name_differs	PerXI04043	Hoog	Hoorn (Hornes), Filip van	Greve 1518–1568, Guvernør i Geldern, henrettet 1568.	VII:67;VIII:335
name_differs	PerXI04103	Houriet	Houriet, Madame	g.m. Jules H.	I:173;I:175
name_differs	PerXI04126	Hultmann, Hansine Bertine Vilhelmine, f. Brans(e)ru(d)	Hultmann, Hansine Bertine Vilhelmine, f. Brans(e)ru(d) (1825–1903)	g. 1858 m. Fritz H.	VI:270;VIII:52
