kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI08034	Serre	- Hans Svoger fra Gotha		IV:225;IV:228;IV:318;IV:321
name_differs	PerXI08097	Sivel, Henri	Sixtus V (1521–1590)	Pave 1585.	I:248;I:304;III:99
name_differs	PerXI08105	Skinkel	Skopas fra Paros (4.Aarh.f.Chr.)	græsk Billedhugger.	I:210;II:66
name_differs	PerXI08110	Skovgaard, se ogsaa: Schougaard. Skovgaard,Georgia, f. Schouw	Skovgaard, Georgia, f. Schouw (1828–1868)	Datter af Professor J.F.Schouw, g. 1851 m. P.G.S.	VI:105;VIII:102
name_differs	PerXI08204	Spanien, Isabella I den Katolske, f. Prinsesse af Castillien, Dronning af —	Spanien, Isabella I den Katolske, f. Prinsesse af Gastillien, Dronning af – (1451–1504)	Dronning af Gastillien 1474, af Spanien 1492, g. 1469 m. Kong Fernando V den Katolske.	V:239;V:254;V:261;V:315
name_differs	PerXI08246	Stackelberg, Alexandrine (Adia) von, Baronesse	Stackeiberg, Alexandrine (Adia) von, Baronesse (1855–1905)	Godsejerdatter fra Kaltenbrunn, Estland.	X:243;X:246;X:261
name_differs	PerXI08411	Strauss	Strauss, Flora	Guvernante, Holsteinborg 1874.	X:257;X:261;X:267;X:396
name_differs	PerXI08467	Svanholm, Kirstine (Kirsten)	Svanholm, Kirstine (Kirsten) (1835–1907)	Søster til Apoteker A.M.S., g. 1° 1869 m. norsk Højesteretsassessor Claus Winter Hielm, 2° 1878 m. norsk Højesteretsassessor Peder Vogt Ottesen.	V:144;V:449
name_differs	PerXI08483	Sverrig	Sverrig, Erik den Hellige, Konge af – (død ca. 1160)	sv. Helgen.	II:18;II:20;III:333
name_differs	PerXI08654	Thiele, Augusta	Thiele, Hanne, f. Aagesen (1819–1892)	g. 1838 m. Just Mathias T.	V:47;V:437;VI:8;VII:208;VII:310;VIII:149;VIII:174;VIII:255;IX:176;IX:250;X:247;X:251;X:252;X:364
name_differs	PerXI08901	Toepffer, Rodolphe	Töppel	(Töpler?), F. A. Serres Svoger, Maxen Juli 1856.	IV:225;IV:228
name_differs	PerXI08923	Ulfeldt, Leonora Sophie	Ulla Maria	(Pseud.), Forfatterinde.	VII:220;VII:232
name_differs	PerXI08928	Ulrichs, Athena (Tibeta Athenaea)	Ulrichs, Athena (Tibeta Athenaea) (1839–1870)	Datter af Heinrich U.	II:165;II:391
name_differs	PerXI09035	Visby, Maria de Concha Lopez, f. Guiparo	Visby, Maria de Goncha Lopez, f. Guiparo (1834–1897)	g. 1855 m. Lauri Chr. V.	V:252;VIII:358
name_differs	PerXI09301	Wiehe, Johanne (Hanne)	Wiehe, Johanne (Hanne) (1813–1891)	Datter af C.W.W.	IV:199;IV:294;IV:466
name_differs	PerXI09481	Yeaman	Yeaman, Mrs.	g.m. George H.Y.	VII:266;VII:398
name_differs	PerXI09488	Uxkull (Uexkull), Berend (Boris), Friherre	Z	(uidentificeret), Slagelse 1825–1826.	I:12;I:54
name_differs	PerXI09494	Zahle, P. C.	Zahle, P. G. (1825–1898)	Broder til Natalie Z., cand. theol., Folketingsmand, Sognepræst 1879, fra 1881 i Vallensved ved Næstved.	VI:164;VIII:147
name_differs	PerXI09496	Zahrtmann, C. C.	Zahrtmann, G. C. (1793–1853)	Kommandørkaptajn, Adjudant hos Kong Christian VIII, Marineminister 1848–1850, Kommandør 1849, Kontreadmiral 1851, Viceadmiral 1852.	II:427;II:432;III:293;X:265
name_differs	PerXI09516	Zeuthen, Christian (fra 1843: Baron)	Zeuthen, Christian (fra 1843: Baron) (1794–1850)	Hofjægermester, Besidder af Tølløse.	II:246;II:253
name_differs	PerXI09610	Østrig-Ungarn, Maria Theresia, Dronning af -, 1745 tysk-romersk Kejserinde	Østrig-Ungarn, Maria Theresia, Dronning af – (1717–1780)	1745 tysk-romersk Kejserinde, g. 1736 m. Hertug Franz af Lothringen, Kejser 1745.	II:71;II:236
