kind	reference_name	reference_desc	reference_refs
candidate_missing	Bartholin, Johanne (Hanne) (1819–1900)	Datter af Elise Margrethe B., Hofdame hos Landgrevinde Charlotte af Hessen 1855–1861.	V:72;V:390;VII:252;VII:279;VII:380;VIII:203;VIII:260;VIII:354;IX:26;IX:183;X:258–259
candidate_missing	Bastrup, Marie	Kolding 1870.	VIII:348–349
candidate_missing	Bayer, Ohr. Fr. (1841–1933)	Assistent i »Bikuben« 1867, Fuldmægtig 1881–1919.	VIII:399–400;X:431
candidate_missing	Belani, H. E. R. (Pseud, for Carl Ludwig Häberlin) (1784–1858)	Tysk Forfatter.	III:352
candidate_missing	Bell & Daldy	Forlagsboghandel i London.	VIII:154;VIII:181–182;VIII:234;VIII:362;VIII:368;VIII:446
candidate_missing	Bentley, Mrs. Richard (død 1871)		III:222;III:243–244;IV:252
candidate_missing	Bentley, Alfred	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley, Annie	ældste Datter af Richard B.	III:222;III:244;III:263;IV:252;IV:262–264;V:293;IX:146;IX:147;IX:150
candidate_missing	Bentley, Frederick	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley, Horatio	Søn af Richard B.	III:222;IV:252;IV:262
candidate_missing	Bentley’s Brodersønner		III:222;III:244;III:264;IV:262
candidate_missing	Bentley’s Søstre		III:244
candidate_missing	Bentzen, Anne Rosine (død 1870, 70 år gl.)	Datter af Karen B.	II:286–287;II:295;III:414;IV:35
candidate_missing	Bentzen, Karen, f. Knudsen (død 1845, 84¼ år gl.)	Enke efter Borgmester i Skien, Justitsraad Bent Mogens B.	II:286–287;II:295
candidate_missing	Bentzen, Sophie (død 1875, 80 år gl.)	Datter af Karen B.	II:286–287;II:295;III:414;IV:35
candidate_missing	Berry, Grevinde	»født i Svendborg«, Paris 19.4.1867.	VII:269
candidate_missing	Bertall (Pseud. for Charles-Albert d’Arnoux) (1820–1883)	Fransk Illustrator af H.C. Andersens Eventyr og Fotograf (Bayard & Bertall).	VII:80
candidate_missing	Bertran de Bom (12. århundrede)	provencalsk Ridder og Trubadur.	X:4–5
candidate_missing	Bielke	(»der døde af Snive«).	VII:326
candidate_missing	Billes	(ikke nærmere angivet).	V:5
candidate_missing	Bilsted, Emst Frederik August (1808–1871)	Student 1828, cand. jur. 1836, fra 1833 Besidder af Høvdingsgaard, Mern S., 1862 Hofjægermester.	VII:15;VII:246;IX:12
candidate_missing	Birger Jarl (død 1266)	Svensk Stormand.	III:339;III:360
candidate_missing	Birger Persson til Finsta (død 1327)	Lagman over Uppland. Skt. Birgittas Far.	II:18
candidate_missing	Bissen, Johanne (Hanne) (1862–1930)	Datter af Vilh.B., g. 1888 m. Apoteker og Fabrikejer Alfred Benzon.	IX:56
candidate_missing	Bjerre	Basnæs 7.10.1857.	IV:294
candidate_missing	Bjørnson, Bjørnstjeme (1832–1910)	Søn af Peder B., norsk Digter.	V:18–19;V:35–36;V:39;V:42;V:44–45;V:47;V:48–49;V:50;V:53;V:58–59;V:82;V:97;V:107;V:139;V:145;V:353–356;V:360;V:368–370;V:372;V:374;V:378;V:382;VI:24;VI:52;VI:71;VI:99;VI:128;VI:171;VI:172;VI:200;VI:229;VI:240;VI:263;VI:264;VI:323;VI:331;VI:335;VII:2;VII:271;VII:336;VII:357;VII:362;VII:390;VII:392–393;VIII:5;VIII:16;VIII:25;VIII:49;VIII:99;VIII:101;VIII:105;VIII:120;VIII:123–124;VIII:153;VIII:172;VIII:451–452;IX:26;IX:31;IX:84;IX:86;IX:89;IX:91;IX:113–124;IX:126–27;IX:133–134;IX:139;IX:147;IX:148;IX:162–163;IX:167;IX:177;IX:179;IX:299;IX:329;IX:331;IX:346;IX:351;IX:380–381;IX:387;IX:390–391;X:11;X:152;X:438
candidate_missing	Bjömstjema, Oscar Magnus Fredrik, Greve (1819–1905)	Svensk Generalmajor, 1864 svensk Minister ad interim i København, Udenrigsminister 1872–1880.	IX:137
candidate_missing	Black	Amerikansk Beundrer (1871).	IX:10
candidate_missing	Bloch (Block), Karoline Amalie Ulrike Ottilie Adolfine Augusta (1803–54 (?))	Hofdame hos Prinsesse Maria af Preussen.	III:41
candidate_missing	Blom, Caroline (Lili) (1851–1928)	Datter af Julius B., g. 1878 m. senere Generalkonsul i Berlin Robert Gädeke.	VIII:240
candidate_missing	Bock, Petrine Vilhehnine, f. Petersen (1818–1877)	g. 1845 m. J.C.A.B.	IV:231
candidate_missing	Bonaparte, Lucien, Fyrste af Ganino (1775–1840)	Broder til Napoléon I.	II:132
candidate_missing	Boom, J. M. (død 1875)	Dansk Konsul i Cadix.	V:291–293
candidate_missing	Borring	(»Brev fra Hr. Borring om at komme til ham og see hvad han havde hjembragt fra Færøerne og Island«, 12.4.1875).	X:433
candidate_missing	Bétzaris, Marko (ca. 1788–1823)	græsk Frihedskæmper.	II:168
candidate_missing	Bouffé, Marie (1800–1888)	Fransk Skuespiller.	II:340
candidate_missing	Boye, Emilie Franzisca, f. Kiinitzer (1835–1916)	g. 1855 m. Edvard B.	VI:340;VIII:344
candidate_missing	Boye, Peter Vilhelm (død 1842)	Broder til F.G.B., stud.theol.	II:284
candidate_missing	Brahe, Aurore Vilhelmina, Enkegrevinde, f. Friherreinde Koskuli (1778–1852)	Enke efter Grev Magnus Frederik B. til Salsta.	III:332
candidate_missing	Braminer	Jfr., Christinelund 1851.	IV:26–27
candidate_missing	Brandis, Henriette (Henny) (1819–1874)	Datter af J.D.B., Forfatterinde.	IV:196;IV:198;IV:238–239;V:169;V:172;V:176–177;VI:33;VI:345;VI:349–351;VII:1–3;VII:4;VII:6;VII:198;VII:320;VII:323;VII:365–366
candidate_missing	Brandt, Frederik Christian (død 1839)	Korist ved Det kgl. Teater 1820–1825.	III:387
candidate_missing	Braun, Familien	fra Rio de Janeiro.	III:275–276
candidate_missing	Breitkopf & Härtel	Bogforlag i Leipzig.	III:59
candidate_missing	Brinck-Seidelin, Maria Ghristophina, f. von Westen (1777–1860)	g. 1809 m. H.D.B.-S.	I:2
candidate_missing	Brinckmann, Wilhelmine	Datter af Maria B., Itzehoe, Juni 1843.	II:379–380
candidate_missing	Briquet, Suzanne-Mathilde, f. Archinard	g.m. Etienne-Emile B.	IV:429
candidate_missing	Brix, Frederiksholm, Sjælland (Sengeløse S.?)	Hotel d’Angleterre 5.7.1870.	VIII:393
candidate_missing	Brix, Frue	Frederiksholm.	VIII:393
candidate_missing	Broberg	Svensk Løjtnant fra Jônkôping (1849).	III:342
candidate_missing	Brodersen, Charlotte, f. Hornemann (1812–1859)	Datter af J. W. Hornemann, g. 1839 m. J.P.B.B.	IV:359
candidate_missing	Bronzino, Agnlolo (1503–1572)	Italiensk Maler.	I:253;I:432–433;II:79
candidate_missing	Brosbøll, Carl (Carit Etlar) (1816–1900)	Forfatter.	III:80;III:182;IV:360;V:7;V:15;V:156;V:157;VI:43–45;VI:129;VI:157;VI:213–214;VII:235;VII:246;VII:259;IX:6;IX:21;IX:55;IX:187;IX:231
candidate_missing	Brown, Hannah, f. Meredith	Veninde af Miss Burdett-Coutts.	IV:242–243
candidate_missing	Brun, Adelaide (Ida), f. Rantzau (1825–1909)	tidligere Operasangerinde ved Det kgl. Teater, g. 1851 m. M.W.B.	IX:133
candidate_missing	Brun, Ella Amalie, f. Bluhme (1838–1905)	g. 1859 m. Kaptajn af Artilleriet, senere Generalmajor Carl August B.	VIII:47
candidate_missing	Brunnow, Elisabeth von, Baronesse	Datter af E.G.v.B.	II:406
candidate_missing	Brunnow, Emst Georg von, Baron (1796–1845)	Tysk Romanforfatter.	II:406;II:408;II:413
candidate_missing	Brunswick (Pseud. for Léon Lhérie) (1805–1850)	Fransk Skuespilforfatter.	II:332
candidate_missing	Brutus, Marcus Junius (85–42 f.Chr.)	Cæsars Morder.	II:139
candidate_missing	Bruun, Gamillo (1818–1880)	Søn af J.S. B., Redaktør af Hjørring Amtstidende, Forfatter, 1869 Assistent i Bikuben i København.	IV:352;VII:269–270
candidate_missing	Bruun, Frederik (Fritz) (1835–1906)	Søn af Palle Chr.B., 1865 Overgartner hos Hertugen af Frias ved Madrid, derefter hos Hertugen af Fernan-Nunez, 1868–1905 Slotsgartner på Bernstorff Slot.	VIII:6
candidate_missing	Bruun, G. L. (død 1892, 65 år gl.)	Grosserer, H.C. Andersens Nabo i Lille Kongensgade Nr. 1.	VII:260;VIII:43;IX:193
candidate_missing	Bruun, Mary	Datter af G.L.B.	VII:260;VIII:43;IX:193
candidate_missing	Brüggeman, Hans	(omkring 1520), Billedhugger og Billedskærer.	IV:47
candidate_missing	Brüggemann	(Brev fra ham til H.C. Andersen Leipzig 8.9.1846).	III:177
candidate_missing	Brøndsted	(»en ung Brøndsted i Besøg«, Asmild Kloster 4.9.1859).	IV:364
candidate_missing	Brøndum, Alfred G. (død 1893, 53 år gl.)	Søn af Anton B., Brændevinsbrænder, Fabriksejer.	X:328
candidate_missing	Buchheister	(»fra Hamborg«), Konsulatsembedsmand, Barcelona.	V:213;V:216–219;V:224
candidate_missing	Bueck, Anne Clémy (kaldet Marthe), f. Rousse	g.m. Forretningsmand i Königsberg Henri Auguste B., Svigermoder til Konsul Eduard Kirstein (1835–1899) i Bordeaux.	VIII:89
candidate_missing	Buli fra København	Göteborg 29.7.1871.	IX:107
candidate_missing	Buli, Bodil Dorothea, f. Holst (1826–1903)	Søsterdatter af H. C. Ørsted, g. 1867 m. Georg Albert B.	IX:166
candidate_missing	Buli, Georg Albert (1827–1913)	fhv. Kapellan i Lindaas, Afsked 1870, boede i København til 1903.	IX:166
candidate_missing	Buli, Georg Jacob (1849–1916)	Søn af A.S.Ø.B., cand. jur. 1870, senere Justitiarius i Overretten i Christiania.	IX:125
candidate_missing	Buli, Johan Chr. Dahl (1850–1895)	Søn af A.S.Ø.B., Student 1869, senere kgl. Fuldmægtig i Christiania.	IX:125
candidate_missing	Buli, Johanne (Hanne) (1809–1886)	Datter af Albertine B.	IX:125;IX:134
candidate_missing	Buil, Ole (1810–1880)	Norsk Violinvirtuos.	II:253;II:377;III:139–140;III:146;IV:4;IV:14–15;IV:470;VII:7–8;VII:10–14;VII:17–18
candidate_missing	Buli, Sofie (1811–1886)	Datter af Albertine B.	IX:125;IX:134
candidate_missing	Buli, Søren Christian Ørsted (1810–1893)	Søn af Albertine B., Ekspeditionssekretær i Armédepartementet i Christiania.	IX:121–122;IX:124–125;IX:128;IX:134
candidate_missing	Burdett-Goutts, Angela (1814–1907)	Engelsk Filantrop.	III:265;IV:242–243;IV:246–247;IV:251;X:315
candidate_missing	Burenstam, Gari Reinhold (1829–1907)	Svensk Diplomat, 1859–1870 svensk-norsk Legationssekretær i Wien.	VIII:286
candidate_missing	Burns, Cleland	skotsk Turist, Fribourg 6.-7.6.1873.	X:97–98;X:110
candidate_missing	— Hans Broder fra Amerika.		V:157
candidate_missing	Boegekamp, Heinrich (død 1870)	Tysk Publicist, Geograf og Indsamler af westfalske Sagn og Eventyr.	IV:223–224
candidate_missing	Bøgh, Frk.	En af Frederik og Nicolaj Bøghs Søstre.	IX:293
candidate_missing	Bötcher, Frøken	Badegæst fra Kurland i Kreischa Juli 1844.	II:411–412
candidate_missing	Galiari, Gabriele (1560–1631)	Italiensk Maler, Søn af Paolo Veronese.	I:400
candidate_missing	Caligula, Gaius Cæsar (12–41)	Romersk Kejser 37.	I:353–354;II:139;III:227;V:83
candidate_missing	Calmet(?)	30.6.1839.	II:39
candidate_missing	Galon, Madame	g.m. P.G.	VIII:334
candidate_missing	Galon, P. (død 1918)	Dansk Konsul i Paris, 1873–1897 Generalkonsul.	VIII:70;VIII:331;VIII:334
candidate_missing	Gambiaso, Luca (1527–1585)	Italiensk Maler.	II:103
candidate_missing	Camphausen, Frue	g.m. Wilh. C.	V:376
candidate_missing	Camprubi, Mariano	Spansk Danser.	II:41–42;II:344
candidate_missing	Caracalla, Marcus Aurelius Antoninus Bassianus (188–217)	romersk Kejser 211.	I:333
candidate_missing	Carstens	Søn af Fedder C. (1872).	IX:336
candidate_missing	Cartwright, Maria Elizabeth, Lady, f. Grevinde von Sandizell (død 1902)	g.m. Sir Thomas C.	III:336
candidate_missing	Carus, Frøknerne	Døtre af Carl Gustav C. (Marianne Albertine (1814–1868) og Caroline Cäcilie (1819–1895)).	V:110
candidate_missing	Casse, Christine Bothilde Petrea, f. Winding (død 1917)	g. 1866 m. P.E.C.	VIII:141
candidate_missing	Gastex, Blanche, f. Jurgensen (1843–?)	Datter af N. J. Jurgensen, g. 1866 m. Paul C.	VII:172
candidate_missing	Castiglione, Giovanni Benedetto (il Grechetto) (1610–1665)	Italiensk Maler.	I:253
candidate_missing	Castilho, Charlotte de, f. Vidal	Datter af M. C. Vidal, g.m. A. F. de C.	VII:109–110;VII:112
candidate_missing	Gastillien, Pedro I, den Grusomme, Konge af – (1334–1369)	Konge 1350.	V:300
