RegistryTitle	29_entityType	30_evidenceLevel	31_evidenceMarkers
Hansen (f. 1862)	crossReference		
Hansen, Doris Erhard, f. Pfeil, Operasangerinde ved Det kgl. Teater 1867-85, g. 1871 m. Erhard H. X 249. —	crossReference		
Hansen, P. E. (1846–1930)	crossReference		
Harald	crossReference		
Harald (f. 1825)	crossReference		
Harriet	crossReference		
Hébert	crossReference		
Heine, Præst	crossReference		
Helga	crossReference		
Hell, Theodor	crossReference		
Hendriksen (f. 1826)	crossReference		
Henny	crossReference		
Henriques	group		
Herman	crossReference		
Heurgen	crossReference		
Hildorf	crossReference		
Hirsch, Politimand 1871	crossReference		
Hjalmar	crossReference		
Hjarne Skjald	legendary		
Hjårta	crossReference		
Holck	crossReference		
Holck, Holck-Winterfeldt	group		
Holland	crossReference		
Holmer, Pastor	crossReference		
Holst, Ernesta	crossReference		
Holten, Brødrene (1861–?)	family		
Horn	crossReference		
Horn	family		
Hosking	family		
Howit, Amsterdam 1868	crossReference		
Hudtwalcker, Professorfrue i Jena	crossReference		
Hymans	crossReference		
Häring, Wilh. Heinr.	crossReference		
Inge den Yngre, Konge	crossReference		
Ingeborg	crossReference		
Isabella, Dronninger	crossReference		
Israel	crossReference		
Jacobsen, Frk., Teglgaarden 1872	crossReference		
Jansen, Skolelærer, Holsteinborg	crossReference		
Jens, Karl hos Anholms	crossReference		
Jerop	crossReference		
Jespersen, Amtmand	crossReference		
Jette	crossReference		
Johanne	crossReference		
Jonas	crossReference		
Jonna	crossReference		
Julia de V	crossReference		
Jurgensen, Paul François, Søn af N.J.J.	crossReference		
Jürgensen	crossReference		
Jørgen, Karl hos Christian Thyberg	crossReference		
Jørgensen	crossReference		
Kaas, Kammerjunker	crossReference		
Kalreuter	crossReference		
Kalwei	crossReference		
Kaufman, Sophie, Adoptivdatter af C.J.F. Lønborg	crossReference		
Keiser	crossReference		
Kelly, Miss	crossReference		
Keyser, Munchen 1852	crossReference		
Klöcker, Daniel	crossReference		
Koss	crossReference		
Krantz, Grosse Reichenstrasse, Hamburg 1856	crossReference		
Krause	family		
Krogh, Georgine von, i Huset hos Statsminister J.S. v. Møsting	crossReference		
Kromheger	crossReference		
Kubitz	crossReference		
Kuhne	crossReference		
Kyllenlog, Løjtnant	crossReference		
Køster, Nicolette, Datter af Apoteker S. L. K., Randers, g. 1865 m. Apoteker J. P. Karmark Obel. IV 360. L. L, Frue (1841–1897)	crossReference		
Leijonhufvud, Greve	crossReference		
Leinburg, Gottfried	crossReference		
Lendel	crossReference		
Léon	crossReference		
Linar	crossReference		
Lombard, Odier & Cie	organisation		
Londel	crossReference		
Lordi	animal		
Lotte, Tante	crossReference		
Loyd	crossReference		
Lucie	crossReference		
Ludvig, se: Meisling, Peter Ludvig (1826–?)	crossReference		
Lund, Chr., Digter	crossReference		
Lynden	crossReference		
Lytthans, Laura	crossReference		
Låndel	crossReference		
Løvenstolpe	crossReference		
Mackwitz, Ida, tysk Forfatterinde	crossReference		
Madsen	crossReference		
