person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP08169,Reg0110680,exact_name,"Savigny, Kunigunde (Gunda) von, f. Brentano","Savigny, Kunigunde (Gunda) von, f. Brentano (1780–1863)",2,
HCAP08170,Reg0110690,exact_name,"Savigny, Marie von, f. Grevinde von Arnim-Boytzenburg","Savigny, Marie von, f. Grevinde von Arnim-Boytzenburg (1831–1906)",2,
HCAP08171,Reg0110700,exact_name,Savoli,Savoli,1,
HCAP08172,Reg0110710,exact_name,"Savoyen, Eugen, Prins af","Savoyen, Eugen, Prins af (1663–1736)",1,
HCAP08173,Reg0110720,exact_name,"Saxe, Maurice de, Greve","Saxe, Maurice de, Greve (1616–1750)",1,
HCAP08174,Reg0110730,exact_name,"Saxild, Georg Chr.","Saxild, Georg Chr. (1811–1885)",1,
HCAP08175,Reg0110740,exact_name,"Saxild, Hans Vilhelm","Saxild, Hans Vilhelm (1813–1891)",0,
HCAP08176,Reg0110760,exact_name,"Saxtorph, Anna Elisabeth, f. Saxtorph","Saxtorph, Anna Elisabeth, f. Saxtorph (1822–1891)",1,
HCAP08177,,none,"Saxtorph, Augusta, f. Brun",,0,
HCAP08178,Reg0110780,exact_name,"Saxtorph, Ernestine","Saxtorph, Ernestine (1811–1892)",5,
HCAP08179,Reg0110790,exact_name,"Saxtorph, Hans Christian","Saxtorph, Hans Christian (1813–1875)",3,
HCAP08180,Reg0110800,exact_name,Sayn-Wittgenstein,Sayn-Wittgenstein,1,
HCAP08181,Reg0110810,exact_name,"Sayn-Wittgenstein, Caroline von, Prinsesse, f. Iwanowska","Sayn-Wittgenstein, Caroline von, Prinsesse, f. Iwanowska (1819–1887)",2,
HCAP08182,Reg0110820,exact_name,"Sayn-Wittgenstein, Marie von, Prinsesse","Sayn-Wittgenstein, Marie von, Prinsesse (1837–1920)",5,
HCAP08183,Reg0110830,exact_name,"Sayn-Wittgenstein, Nikolaus von, Prins","Sayn-Wittgenstein, Nikolaus von, Prins (1812–1864)",1,
HCAP08184,Reg0110840,exact_name,"Sayn-Wittgenstein-Berleburg, Emil, Prins af —","Sayn-Wittgenstein-Berleburg, Emil, Prins af – (1824–1878)",2,
HCAP08185,,none,"Sayn-Wittgenstein-Berleburg, Pulcheria, Prinsesse af -, f. Prinsesse Cantacazenos",,0,
HCAP08186,Reg0110860,exact_name,"Scavenius, Anna","Scavenius, Anna (1842–1900)",4,
HCAP08187,Reg0110870,exact_name,"Scavenius, Carl","Scavenius, Carl (1839–1901)",5,
HCAP08188,Reg0110880,exact_name,"Scavenius, Charlotte Sophie, f. Meincke","Scavenius, Charlotte Sophie, f. Meincke (1811–1872)",5,
