navn,kontekst,kvindelig,mandlig,i_alt,skævhed,anvendes
magdalene,dansk,1,0,1,1.00,nej
melita,_general,1,0,1,1.00,nej
asbjørn,_general,0,1,1,1.00,nej
erland,_general,0,1,1,1.00,nej
thyge,_general,0,1,1,1.00,nej
alexej,_general,0,1,1,1.00,nej
alexej,russisk,0,1,1,1.00,nej
marino,_general,0,1,1,1.00,nej
marino,italiensk,0,1,1,1.00,nej
olavia,_general,1,0,1,1.00,nej
marie-isaline,_general,1,0,1,1.00,nej
marie-isaline,schweizisk,1,0,1,1.00,nej
malvine,_general,1,0,1,1.00,nej
joh,_general,0,1,1,1.00,nej
mathiane,_general,1,0,1,1.00,nej
napoleon,_general,0,1,1,1.00,nej
anthonore,_general,1,0,1,1.00,nej
erikine,_general,1,0,1,1.00,nej
abd-ul-hamid,_general,0,1,1,1.00,nej
abd-ul-medshid,_general,0,1,1,1.00,nej
achmed,_general,0,1,1,1.00,nej
mahmud,_general,0,1,1,1.00,nej
muhammed,_general,0,1,1,1.00,nej
sulejman,_general,0,1,1,1.00,nej
athena,_general,1,0,1,1.00,nej
geisa,_general,0,1,1,1.00,nej
ladislaus,_general,0,1,1,1.00,nej
stefan,_general,0,1,1,1.00,nej
alexander,tysk,0,1,1,1.00,nej
ernst,russisk,0,1,1,1.00,nej
diego,_general,0,1,1,1.00,nej
diego,spansk,0,1,1,1.00,nej
carle,_general,0,1,1,1.00,nej
horace,_general,0,1,1,1.00,nej
catharina,tysk,1,0,1,1.00,nej
alfred,fransk,0,1,1,1.00,nej
lydia,_general,1,0,1,1.00,nej
lauri,_general,0,1,1,1.00,nej
anthonetta,_general,1,0,1,1.00,nej
riborg,_general,1,0,1,1.00,nej
leontine,_general,1,0,1,1.00,nej
broder,_general,1,0,1,1.00,nej
jeanette,_general,1,0,1,1.00,nej
emanuel,østrigsk,0,1,1,1.00,nej
theresia,_general,1,0,1,1.00,nej
albrecht,_general,0,1,1,1.00,nej
hanna,_general,1,0,1,1.00,nej
pinches,_general,0,1,1,1.00,nej
jacqueline,_general,1,0,1,1.00,nej
katharina,_general,1,0,1,1.00,nej
frants,_general,0,1,1,1.00,nej
nikoline,_general,1,0,1,1.00,nej
johanna,tysk,1,0,1,1.00,nej
arthur,engelsk,0,1,1,1.00,nej
anders,svensk,0,1,1,1.00,nej
blanka,_general,1,0,1,1.00,nej
warinka,_general,1,0,1,1.00,nej
antoinette!,_general,1,0,1,1.00,nej
jacques,_general,0,1,1,1.00,nej
mathilde,østrigsk,1,0,1,1.00,nej
(1816–1893),_general,0,1,1,1.00,nej
peter-robert,_general,0,1,1,1.00,nej
marie,østrigsk,1,0,1,1.00,nej
laurentius,_general,0,1,1,1.00,nej
thor,_general,0,1,1,1.00,nej
lucie,norsk,1,0,1,1.00,nej
hildegarde,_general,1,0,1,1.00,nej
fabian,_general,0,1,1,1.00,nej
fabian,svensk,0,1,1,1.00,nej
ludvig,svensk,0,1,1,1.00,nej
hofdame,_general,1,0,1,1.00,nej
alfonso,spansk,0,1,1,1.00,nej
berend,_general,0,1,1,1.00,nej
berend,russisk,0,1,1,1.00,nej
maria,tysk_romersk,1,0,1,1.00,nej
rainer,_general,0,1,1,1.00,nej
