vol,page,date,month,year,heading,text
VII,4,1866-01-06,Januar,1866,Løverdag 6.,"004-01         bagtes &. Sendt mit lille Digt: »Paa Nytaarsmorgen« til
004-02        Bogtrykker Herdahl med Brev. Saae i Haven et hvidt Dyr,
004-03         jeg troede det var en Fugl, ventede at den vilde flyve, men
004-04         den forsvandt pludseligt i Jorden, jeg fandt Hullet og hører
004-05         at det er en Væsel, den Slags er om Vinteren hvid. Lækat [5]
004-06         kaldes den ogsaa; efter Frokosten gik Otto og den unge
004-07         Petzholdt ud at søge den, men det Hul jeg troede den var
004-08         forsvundet i fandtes ikke dybt og Intet opdagedes. Om Aftenen
004-09         skrev vi Sædler det faldt tomt og kjedeligt ud. Jeg fik
004-10         imidlertid Brev fra Georg O Neill med Violer fra Portugal [10]
004-11         og en Paaskyndelse om at komme. Et rart langt Brev fra Watt
004-12         og endelig et Brev fra Etatsraad Collin med Forslag at tage
004-13         de otte Dage jeg blev i Kjøbenhavn ind i et Hotel garni
004-14         i lille Strandstræde, Theodor roser men ikke ved om Priserne.
004-15         Jeg havde ikke Lyst til at komme dumpende ind hvor [15]
004-16         jeg maaskee ikke følte mig tilfreds og de sidste Dage i Byen
004-17         vilde da bringe mig i Misstemning. Ved Middagsbordet udbragte
004-18         Fru Scavenius [en Skaal] for Kammerherren, hendes
004-19         Svoger, hvis Fødselsdag det i Dag er, jeg udbragte Skaalen
004-20         for det andet Fødsels[dags]barn, den unge Apotheker Didrik [20]
004-21         Reumer, som er her i Julen, Fætter til Frøken Brandes."
VII,4,1866-01-07,Januar,1866,Søndag 7.,"004-22     Søndag 7. Sov daarlig, med en for kort Undermadrasse,
004-23         og tænkte ideligt paa det Hotel Collins vil have mig i, jeg
004-24         har dog en slavisk indgroet Fornemmelse at maatte lyde den
004-25         collinske Slægt, — det er for galt! — Skrev et meget for langt [25]
004-26         Brev til Eduard, hvorfor, om ikke gjøre Undskyldninger, saa
004-27         dog en Trang til at klare naar jeg ikke vil føie mig i den
004-28         collinske Villie. Sendt Brev til Fru Kock og deri Brev til"
VII,5,1866-01-07,Januar,1866,Søndag 7.,"005-01         Lieutenant Kock i Conchin-China. Taaget Veir og imorges
005-02         saa mørkt at da jeg kom ned henved halv 10, mit Uhr stod,
005-03         var endnu ikke Maskinen paa Bordet. Klokken halv tre
005-04         skulde spises da Otto reiste Kl 4; men vi kom ikke tilbords
005-05         før efter tre og Otto reiste ½5. Her er ikke Tanke om at [5]
005-06         Noget skeer præcis. Om Aftenen sad vi i Bibliotheket Baron
005-07         Dyring-Rosenkrands spillede paa Zitter og sang dertil Ilden
005-08         blussede i begge Kaminerne, Juno gik skikkelig om og slikkede
005-09         Folk, Lordi var gnaven mod Juno. Min Stemning er
005-10         ikke i Glæde til Reisen. Vandt jeg saa betydeligt i Lotteriet [10]
005-11         paa Torsdag at jeg kunde tage Een med da vilde jeg vist
005-12         glæde mig. Jeg vinder ikke i Lotteriet; maaskee er det til
005-13         mit Gavn. Sendt Brev og Digt til Bogtrykker Herdahl, (jeg
005-14         troer det var igaar jeg sendte det). Fik med Posten i Dag
005-15         sendt fra Herdahl et Exemplar af hans »Børnetidende«. — [15]"
VII,5,1866-01-08,Januar,1866,Mandag 8.,"005-16     Mandag 8. Sendt Brev til Grevinde Holstein, Brev til
005-17         Grevinde Frijs, Brev til Hoteleier Krüger. Veiret, som altid,
005-18         taaget og graat. Brev fra Grevinde Holstein. Avisen i Aften
005-19         mælder at Madrid er i Beleirings Tilstand, Alt taarner sig
005-20         [op] mod min Portugals Reise, det bliver vel tilsidst at jeg [20]
005-21         dog maa gaae Søeveien, vil jeg derhen. Læst høit: »Paa
005-22         Langebroe«. stormende Blæst udenfor."
VII,5,1866-01-09,Januar,1866,Tirsdag 9.,"005-23     Tirsdag 9. Sovet daarlig da Vinduerne paa Loftet i Stormen
005-24         sprang op og smældede; Noget faldt om deroppe.
005-25         Forstemt for Urolighederne i Spanien, der rimeligviis forhindrer [25]
005-26         min Reise der gjennem Landet. Brev til Grevinde"
VII,6,1866-01-09,Januar,1866,Tirsdag 9.,"006-01     Holstein. — Fik iaften Brev fra Eduard Collin og fra Jette
006-02     Collin og fra Forfatterinden Frøken Henriette Nielsen, og fra
006-03     Louise Lind, samt fra Fru Serre. — Om Aftenen spillede vi
006-04         Hanerei og Skidtmads, jeg var heldig i hvert Spil."
VII,6,1866-01-10,Januar,1866,Onsdag 10.,"006-05     Onsdag 10. Brev til Jette Collin. Tegnet Gravstenen af [5]
006-06         nede i Haven. I Eftermiddag halv fire reiste den unge...
006-07         ...., Søstersøn af Frøken Brandes. Om Aftenen spillede som
006-08         sædvanlig Baronen Zitter, paa Bibl[i]otheket, jeg læste nede
006-09         af »I Sverrig«, der blev meget fortalt om Spøgeri i Stuen
006-10         tæt ved min. [10]"
VII,6,1866-01-11,Januar,1866,Torsdag 11,"006-11     Torsdag 11 Sendt Brev til Eckardt hvis Fødselsdag det
006-12         i Dag er; følt mig mindre vel da jeg stod op efter Feberdrømme.
006-13         For igjen at faae et Brev, helst fra Udlandet, skrev
006-14         jeg i Dag Brev til Jonna Stampe. Vrøvl med Afreisen imorgen;
006-15         Düring-Rosenkrands vil ikke gjerne med Middagstoget, [15]
006-16         men det er just det jeg har faaet Løfte om Vogn til Slagelse.
006-17         Vi skulle selv leie os Heste. Fik af Fru Scavenius foræret en
006-18         fransk Guide for Belgien. Regn og Rusk; ingen Breve."
VII,6,1866-01-12,Januar,1866,Fredag 12,"006-19     Fredag 12 Oppe omtrent Klokken 8. Luzie bragte mig paa
006-20         mit Værelse smukke Blomster fra Drivhuset til Afsked; denne [20]
006-21         faldt mig tung; jeg troer ikke at leve og komme mere til
006-22         Basnæs. Klokken lidt over halv ti kjørte vi, og toge Forspænds
006-23         Heste fra Skjelskjør til Slagelse, men beholdt Fru
006-24         Scavenii Vogn. Baron Diiring Rosenkrands sad uden paa,
006-25         Broderen Lie[u]tenant Düring inden i. Det var smukt Veir, [25]
006-26         de gik i Røg Coupé jeg i en hvor der ikke blev røget, men der
006-27         blev propfuldt. Veiret smukt. Klokken halv sex kom vi til"
VII,7,1866-01-12,Januar,1866,Fredag 12,"007-01         Kjøbenhavn. Jeg fik i Hotel d Angleterre No 49 paa første
007-02         Sal, idet Ole Bull boede i mine to smaae Stuer paa anden
007-03         Sal. Besøgt Eduard Collin, her laae Brev og Pakke fra Bondepoeten
007-04         ovre ved Frisenborg, desuden et Levningsløb med
007-05         nogle Atester, sam[t] Brev......... fra Gik hen til Eckardt [5]
007-06         hvis Fødselsdag det er i Dag; her var ungt Herre Selskab,
007-07         jeg gik derfra tidlig og hjem i min varme Stue og spiiste der."
