entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0107590,"Ross, Sir John (1777–1856)",Engelsk,engelsk,Engelsk,national,0,leading,single,subject,Engelsk Søofficer og Polarforsker.
Reg0107600,"Ross, Ludwig (1806–1859)",holstensk,holstensk,Holstensk,border_region,0,leading,single,subject,"holstensk Arkæolog, 1832–1843 i græsk Tjeneste, 1836 Professor i Athen, 1843 i Halle."
Reg0107600,"Ross, Ludwig (1806–1859)",græsk,græsk,Græsk,national,3,embedded,single,unclear,"holstensk Arkæolog, 1832–1843 i græsk Tjeneste, 1836 Professor i Athen, 1843 i Halle."
Reg0107610,"Rossi-Caccia, Juana (1818–1892)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,"Italiensk Operasangerinde, g.m. Billedhuggeren Carlo Caccia."
Reg0107640,"Rossini, Giacomo (1792–1868)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Komponist.
Reg0107670,"Roth, Joseph",Dansk,dansk,Dansk,national,0,leading,single,subject,Dansk Konsul i Bayonne.
Reg0107710,"Rothe, August (1795–1879)",fransk,fransk,Fransk,national,2,embedded,single,unclear,"Lektor i fransk Sprog og Litteratur ved Sorø Akademi 1822–1847, tit. Professor 1847."
Reg0107720,"Rothe, Clara (1847–1882)",dansk-vestindiske,dansk_vestindisk,Dansk-vestindisk,colonial,5,embedded,fixed_compound,possible_institution,"Datter af Viceguvernør over de dansk-vestindiske Øer Louis R., g. 1868 m. Gesandt, Kaptajn Chr. Fr. Falbe."
Reg0107790,"Rothe, Viggo (1814–1891)",sjællandske,sjællandsk,Sjællandsk,regional_danish,9,embedded,single,possible_institution,"Broder til August R., cand. polyt., Direktør for Det sjællandske Jernbaneselskab 1848–1883, Etatsråd 1859, 1865 Konferensraad."
Reg0107990,"Rousseau, Jean-Jacques (1712–1778)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Forfatter.
Reg0108000,"Roux, Armand (1835–1887)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Komponist.
Reg0108040,"Roxburghe, Susannah Stephania, Hertuginde af –, f. Dalbiac (død 1895)",engelsk,engelsk,Engelsk,national,2,embedded,single,possible_relation,"g. 1836 m. engelsk Generalløjtnant, Hertug James Henry Robert af R., 1868 Lady to the Bedchamber of the Queen."
Reg0108100,"Rubens, Peter Paul (1577–1640)",flamsk,flamsk,Flamsk,regional_foreign,0,leading,single,subject,flamsk Maler.
Reg0108110,"Rubenson, Albert (1826–1901)",Svensk,svensk,Svensk,national,0,leading,single,subject,Svensk Komponist.
